file_path_v424,surface_v424,rule_code_v424,message_v424,row_v424,fixable_v424,claim_boundary_v424
book/_helpers/plot_helpers.py,book,I001,Import block is un-sorted or un-formatted,8,True,post-repair repository ruff diagnostic inventory
book/_helpers/plot_helpers.py,book,F401,`numpy` imported but unused,11,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_global_v38_project_synthesis.py,scripts,F841,Local variable `state` is assigned to but never used,74,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_extended_experiments.py,scripts,B007,Loop control variable `sample_id` not used within loop body,666,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_quarto_restructure.py,scripts,F841,Local variable `v38` is assigned to but never used,93,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v10_resolution_wave.py,scripts,SIM108,Use ternary operator `stage2 = pdl.ge(abs_pd) if math.isinf(rel) else pdl.ge(abs_pd) | pdl.ge(pd0 * rel)` instead of `if`-`else`-block,362,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v10_resolution_wave.py,scripts,B023,Function definition does not bind loop variable `path_id`,1141,False,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v10_resolution_wave.py,scripts,B905,`zip()` without an explicit `strict=` parameter,1154,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,C405,Unnecessary list literal (rewrite as a set literal),195,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B905,`zip()` without an explicit `strict=` parameter,314,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B905,`zip()` without an explicit `strict=` parameter,340,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B905,`zip()` without an explicit `strict=` parameter,715,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B023,Function definition does not bind loop variable `path_id`,936,False,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B023,Function definition does not bind loop variable `policy_id`,936,False,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B905,`zip()` without an explicit `strict=` parameter,951,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v12_resolution_wave.py,scripts,B905,`zip()` without an explicit `strict=` parameter,1340,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v12_resolution_wave.py,scripts,B023,Function definition does not bind loop variable `path_id`,1514,False,post-repair repository ruff diagnostic inventory
