stage_v285,pair_rows_v285,claim_boundary_v285,blocked_pair_rows_v285
all_positive_tight_pairs,754965,candidate/drop pair count before filters,
return_improving,456968,return delta only,
budget_return_feasible,176697,budget plus return only,
grade_source_feasible_alone,105,grade cap applied alone after budget+return,
score_decile_source_feasible_alone,5476,score_decile cap applied alone after budget+return,
income_band_source_feasible_alone,176697,income_band cap applied alone after budget+return,
dti_band_source_feasible_alone,176697,dti_band cap applied alone after budget+return,
period_source_feasible_alone,176697,period cap applied alone after budget+return,
state_top20_source_feasible_alone,176697,state_top20 cap applied alone after budget+return,
cumulative_source_prefilter_after_grade,105,cumulative source prefilter through grade; diagnostic only,176592.0
cumulative_source_prefilter_after_score_decile,0,cumulative source prefilter through score_decile; diagnostic only,105.0
cumulative_source_prefilter_after_income_band,0,cumulative source prefilter through income_band; diagnostic only,0.0
cumulative_source_prefilter_after_dti_band,0,cumulative source prefilter through dti_band; diagnostic only,0.0
cumulative_source_prefilter_after_period,0,cumulative source prefilter through period; diagnostic only,0.0
cumulative_source_prefilter_after_state_top20,0,cumulative source prefilter through state_top20; diagnostic only,0.0
source_exact_feasible,0,exact all-family source caps after prefilter,
cvar_feasible_entering_column,0,source-exact plus CVaR feasible entering columns,
