signal,source_lane,artifact,current_result,paper4_role,end_to_end_connection,promotion_gate,immediate_action
CRPTO champion and robust region,paper1_e2e / search_portfolio,models/final_project_promotion.json,return $170.5K; alpha01=True; V=0.03645; Gamma_CP=0.18591,base policy universe,starting funded-set and robust-policy candidates for all overlays,must not be overwritten; Paper 4 needs its own promotion JSON,use as source manifest and compare overlays against frozen champion
Uncertainty baselines and BMA,insights_factory canonical/research,models/uncertainty_baselines_status.json; models/bma_comparison_status.json,"CP coverage 92.5%, width 0.754581; BMA width reduction by CP 19.27%",uncertainty primitive justification,chooses conformal intervals as the uncertainty source for IFRS9/CRPTO overlays,diagnostic only unless a new conformal selector is opened,"keep as evidence that Paper 4 should use conformal, not bootstrap/BMA, as base U_t"
Alpha and Gamma policy dial,insights_factory research,data/processed/alpha_sweep_pareto_both.parquet; data/processed/ecl_alpha_sensitivity.parquet,SICR alpha ECL at 0.10 $56.6M; alpha 0.05 $62.7M,policy dial,"propagates alpha into Gamma_CP, eligible funded set, SICR, ECL and capital overlays",selector must declare alpha policy before ranking policies,add alpha -> Gamma_CP -> ECL -> funded-set table to the MVP package
SICR and stage-cost overlays,paper2_e2e / insights_factory research,models/sicr_conformal_status.json; models/stage_misclassification_status.json,SICR width threshold 0.3; stage cost 97.28M,IFRS9 accounting constraint,turns conformal width into Stage 2 migration and provision cost for each policy,must be evaluated policy-by-policy before it becomes a selector,build policy x ECL x stage grid over CRPTO robust region
Competing-risk ECL correction,paper2_e2e / insights_factory research,models/cif_ecl_impact_status.json,KM excess reserve $125.8M; excess 12.55%,lifetime-risk correction,prevents multi-period IFRS9 CRPTO from overcounting prepayment as censoring,derive per-policy lifetime ECL before changing objective,add CIF-adjusted ECL as a diagnostic column in Paper 4 MVP
TS -> ECL uncertainty and vNext intervals,core_ts / research_only,models/time_series_vnext_status.json; models/ts_ecl_intervals_status.json,interval promotable=False; coverage90=83.3%; ECL band $288.5M,"temporal state, not current selector","feeds monthly state S_t, ECL stress and future online conformal gates",coverage by horizon and forward coherence before online/multi-period claim,use TS as replay/stress state; keep interval champion research-only
SPO+ and CRPTO stability,insights_factory research,models/spo_real_training_status.json; data/processed/crpto_vs_spo_stability.json,SPO+ regret improvement 49.1%; min period coverage 92.1%,DFL/regret comparator,"benchmarks decision regret against auditability, coverage and robust feasibility",online DFL needs repeated-decision coverage and IFRS9 net-return metrics,"frame as regret-auditability frontier, not as replacement for CRPTO"
Causal rule and CATE portfolio gate,research_causal / research_cate_portfolio,models/causal_policy_rule.json; models/cate_portfolio_status.json,rule discount_100_only; overlap=True; sensitivity=False; CATE portfolio=research_blocked_by_policy_gate,"intervention candidate, currently blocked",could add policy_value_causal only after identification and sensitivity gates pass,causal proof package plus policy_evaluation_consistent=true,include as explicit gate and future module; do not use as objective today
Causal OOT economic signal,research_causal,models/causal_policy_oot_status.json; data/processed/causal_policy_oot_backtest.parquet,rule net $24.2M; p05 monthly $1.697K,causal stress-test evidence,shows what a pricing/intervention layer would report once causal gates pass,same causal gate; OOT economic value alone is insufficient,"show as example of future causal readout, separated from champion selection"
RAPIDS insight factory segmentation and graph structure,research_rapids,reports/gpu_insights/2026-03-10-rapids-insight-v4/artifacts/*,UMAP 47.2x; HDBSCAN clusters 2; Louvain communities 17,candidate regime/source discovery,"can propose segments for MDCP, fairness stress, drift monitoring and scenario slicing","segments need stability, interpretability and policy impact before use",turn clusters/communities into candidate source labels for diagnostics only
Notebook/storytelling atlas,research_notebooks,reports/notebook_exec; reports/notebook_images; export_storytelling_snapshot,figures and exploratory narratives already feed Quarto/companion,evidence atlas,keeps exploratory evidence linked to claim/artifact/test maps,not a metric source unless backed by generated artifact,"use for communication and appendix curation, not selection"
