lane,current_status,best_current_signal,blocker,next_search,promotion_condition,artifact
CATE / causal CRPTO,gated_research_only,overlap_pass=True; sensitivity_pass=False,treatment/outcome identification and sensitivity,causal_treatment_identification_grid + sensitivity rerun,"identification gate, overlap, sensitivity, policy value all pass",paper4_causal_treatment_identification_grid.csv
Online conformal,prototype,forward-only rolling search implemented,method not final; interval efficiency and worst-month coverage,rolling vs Mondrian vs ACI vs UP-OCP,mean coverage >= .90 and worst policy-month >= .80 with usable width,paper4_online_conformal_method_search.csv
Temporal TS / ECL,research_only,interval_promotable=False,90% interval coverage failed official gate,TS interval redesign + downstream ECL value,coverage by horizon and forward coherence pass,paper4_nonpromoted_lane_dashboard.csv
CQR decision-aware,comparator_only,best_min_group=cqr_global,zero eligible loans and wide intervals,decision-aware CQR / CROMS objective,"coverage, group coverage, width and decision eligibility all improve",paper4_nonpromoted_lane_dashboard.csv
CVaR/OCE solver,prototype,tail penalty LP candidate-pool search,not yet full scenario CVaR LP,scenario CVaR LP with auxiliary variables,tail loss drops without unacceptable net return/ECL loss,paper4_tail_penalty_lp_search.csv
MDCP,diagnostic,worst-source coverage by source family,source definitions still proxy,source family search and formal MDCP protocol,worst-source coverage passes over defended sources,paper4_mdcp_source_family_search.csv
Fairness formal,proxy_governance,composition-gap grid available,no direct protected attributes,proxy governance and sensitivity by available segments,claim stays proxy unless protected attributes are legally available,paper4_fairness_proxy_governance_grid.csv
SPO+ / DFL hybrid,diagnostic_replay,regret-auditability replay exists,no integrated decision-loss training,hybrid objective search preserving CRPTO constraints,lower regret while retaining coverage/auditability,paper4_regret_auditability_pareto_v2.csv
Multi-dataset replication,future,none,no second credit dataset in repo,external dataset acquisition and leakage audit,protocol repeats outside Lending Club,paper4_nonpromoted_lane_dashboard.csv
Open-source CRPTO package,parked,internal APIs still moving,research API not stable,API stabilization after full exact + selector gates,stable allocation/evaluation API and docs,paper4_nonpromoted_lane_dashboard.csv
