asset_id_v476,asset_type_v476,source_asset_v476,required_caveat_v476,claim_boundary_v476,caveat_required_v476,final_caption_or_insertion_allowed_v476
T1,table,paper4_v467_cvar_frontier_probe.csv,local v338-v347-v353 chain only,no full-v55 optimality or champion claim,True,False
T2,table,paper4_v468_tight_source_rankings.csv,diagnostic source blocker statement only,no source cap approval or mutation,True,False
T3,table,paper4_v469_current_frontier_dynamic_gap.csv,v353 lacks dynamic replay trace,no live dynamic deployment language,True,False
T4,table,paper4_v470_online_monitoring_proxy_summary.csv,internal proxy only; no external holdout,no production monitoring claim,True,False
T5,table,paper4_v471_formal_claim_boundary_matrix.csv,historical/oracle-surrogate audit only,no formal theorem or CRC guarantee,True,False
T6,table,paper4_v472_ifrs9_requirement_audit.csv,requirement audit only,no contractual accounting compliance claim,True,False
F1,figure,paper4_fig5_return_ecl_tail_frontier.png,legacy frontier figure; align caption to v467 local claim,visual context only; v467 table carries current claim,True,False
F2,figure,paper4_fig10_mdcp_worst_source_v2.png,source-governance visual context only,no cap relaxation or legal fairness certification,True,False
F3,figure,paper4_fig12_online_method_search.png,internal replay-selected method search,no external holdout or production monitoring claim,True,False
F4,figure,paper4_fig4_regret_auditability_frontier.png,historical audit positioning only,no formal SPO-DLA theorem claim,True,False
