layout_item_id_v488,asset_id_v488,asset_type_v488,source_asset_v488,target_file_v488,target_block_v488,layout_order_v488,caption_text_v488,layout_mode_v488,ready_for_layout_dry_run_v488,ready_for_quarto_patch_v488,caption_final_v488,inserted_into_quarto_v488,claim_boundary_v488
dryrun_T5,T5,table,paper4_v471_formal_claim_boundary_matrix.csv,book/chapters/19-paper-mega-extension/19f-sequential-decision-framework.qmd,methods_protocol,1,Formal SPO-DLA claim-boundary matrix. The table supports bounded historical audit language only; formal theorem and CRC guarantee claims remain blocked.,dry_run_only,True,False,False,False,no formal theorem or CRC guarantee
dryrun_F4,F4,figure,paper4_fig4_regret_auditability_frontier.png,book/chapters/19-paper-mega-extension/19f-sequential-decision-framework.qmd,methods_protocol,2,Regret-auditability frontier context for historical SPO-DLA positioning. The figure does not establish a formal theorem or deployment guarantee.,dry_run_only,True,False,False,False,no formal SPO-DLA theorem claim
dryrun_T1,T1,table,paper4_v467_cvar_frontier_probe.csv,book/chapters/19-paper-mega-extension/19bv-v33-cvar-certificate.qmd,results_evidence_cvar,3,Local return and tail-risk frontier for the v338-v347-v353 chain. Evidence is local to the comparable universe; full-v55 optimality and working-champion claims remain outside scope.,dry_run_only,True,False,False,False,no full-v55 optimality or champion claim
dryrun_F1,F1,figure,paper4_fig5_return_ecl_tail_frontier.png,book/chapters/19-paper-mega-extension/19bv-v33-cvar-certificate.qmd,results_evidence_cvar,4,"Return, ECL and tail-risk frontier context. The figure provides visual context for the local frontier and must be read with the current T1 evidence table.",dry_run_only,True,False,False,False,visual context only; v467 table carries current claim
dryrun_T2,T2,table,paper4_v468_tight_source_rankings.csv,book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,results_evidence_governance_online,5,Tight source-governance ranking after the domain refresh. Grade A is retained as the primary blocker; the table does not authorize cap relaxation or fairness certification.,dry_run_only,True,False,False,False,no source cap approval or mutation
dryrun_F2,F2,figure,paper4_fig10_mdcp_worst_source_v2.png,book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,results_evidence_governance_online,6,Worst-source governance coverage context. The figure motivates the source-governance blocker without implying cap approval or legal fairness certification.,dry_run_only,True,False,False,False,no cap relaxation or legal fairness certification
dryrun_T4,T4,table,paper4_v470_online_monitoring_proxy_summary.csv,book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,results_evidence_governance_online,7,Internal online conformal monitoring proxy gates. The evidence is replay-based and internal; external holdout and production monitoring claims remain blocked.,dry_run_only,True,False,False,False,no production monitoring claim
dryrun_F3,F3,figure,paper4_fig12_online_method_search.png,book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,results_evidence_governance_online,8,"Online conformal method-search context. The figure supports internal monitoring proxy discussion only, not production monitoring.",dry_run_only,True,False,False,False,no external holdout or production monitoring claim
dryrun_T3,T3,table,paper4_v469_current_frontier_dynamic_gap.csv,book/chapters/19-paper-mega-extension/19ca-v38-final-synthesis.qmd,discussion_limitations,9,"Dynamic replay gap for the current local frontier. v338 remains the historical dynamic proxy anchor, while v353 lacks a dynamic replay trace.",dry_run_only,True,False,False,False,no live dynamic deployment language
dryrun_T6,T6,table,paper4_v472_ifrs9_requirement_audit.csv,book/chapters/19-paper-mega-extension/19ca-v38-final-synthesis.qmd,discussion_limitations,10,Contractual IFRS9 requirement-gap audit. The table supports proxy and gap language only; contractual cashflow and accounting compliance claims remain blocked.,dry_run_only,True,False,False,False,no contractual accounting compliance claim
