stage_v352,row_count_v352,claim_boundary_v352
v351_unique_source_exact_two_swap_seeds,119,unique v351 source-exact two-swap actions
positive_source_tight_third_add_candidates,4385,positive omitted candidates touching v350 tight blocks
ordered_third_order_rows,88158005,ordered two-swap seed/add/drop combinations
return_improving,48619628,positive total three-swap return delta only
budget_return_feasible,16922735,budget plus positive return only
grade_source_feasible_alone,7402,grade cap only after budget+return
score_decile_source_feasible_alone,1125596,score_decile cap only after budget+return
income_band_source_feasible_alone,16922735,income_band cap only after budget+return
dti_band_source_feasible_alone,16922735,dti_band cap only after budget+return
period_source_feasible_alone,16922735,period cap only after budget+return
state_top20_source_feasible_alone,16922735,state_top20 cap only after budget+return
source_exact_feasible,1568,all-family source caps after third-order screen
cvar_feasible_entering_column,2,source-exact plus CVaR-feasible return-improving rows
