article_id,source_url,title,parent_activity_id,theme,source_status,why_relevant,stop_condition
article_designing_ai_underwriters,https://www.linkedin.com/pulse/designing-ai-underwriters-denis-burakov-j5qgf,Designing AI Underwriters,,"AI underwriting, multi-agent decision support, human-in-the-loop governance",linkedin_article_public_pending_capture,Puede informar el marco de gobernanza y auditoria de decisiones asistidas por IA sin alterar el champion.,"Cerrar tras lectura completa, separando idea de producto/contexto de evidencia academica."
article_measuring_calibration_accuracy,https://www.linkedin.com/pulse/measuring-calibration-accuracy-modern-pd-models-denis-burakov,Measuring Calibration Accuracy of Modern PD Models,,"PD calibration, ECE, Brier/log-loss, reliability diagrams",linkedin_article_public_pending_capture,Complementa los posts de Brier/ECE con una explicacion larga y referencias.,Cerrar tras capturar referencias utiles; no usar como fuente primaria academica.
article_designing_credit_scoring_systems_ml_components,https://www.linkedin.com/pulse/designing-credit-scoring-systems-ml-components-denis-burakov,Designing Credit Scoring Systems with ML Components,,"Modular credit scoring, submodels, calibration, monitoring",linkedin_article_public_pending_capture,Muy alineado con separacion score/calibrator/policy y modulos en el libro.,Cerrar cuando se mapee a gobierno/arquitectura o se archive como contexto.
article_understanding_lgd_risk,https://www.linkedin.com/pulse/understanding-lgd-risk-denis-burakov,Understanding LGD Risk,,"LGD models, workout LGD, direct/indirect approaches, LGD metrics",linkedin_article_public_pending_capture,Puede alimentar Paper 4 LGD appendix/probabilistic bins y separar PD/LGD/EAD scope.,Cerrar cuando los conceptos LGD queden resumidos con fuente-status y sin claim publico no verificado.
article_validating_tree_based_risk_models,https://www.linkedin.com/pulse/validating-tree-based-risk-models-denis-burakov-wpccf,Validating Tree-Based Risk Models,,"GBDT validation, monitoring, chi-square tests, model risk",linkedin_article_public_pending_capture,Aporta lenguaje de validacion y monitoreo para modelos tree-based regulados.,Cerrar cuando se clasifique como governance context o appendix; sin sustituir referencias oficiales.
article_validating_new_generation_credit_risk_models,https://www.linkedin.com/pulse/validating-new-generation-credit-risk-models-denis-burakov,Validating New Generation Credit Risk Models,,"Model validation, challengers, parsimony, complexity, Optuna",linkedin_article_public_pending_capture,Aporta checklist de validacion para Paper Estrella/Paper 4 governance.,Cerrar tras separar ideas de validacion de fuentes oficiales y papers revisados.
article_scorecarding_naive_bayes,https://www.linkedin.com/pulse/scorecarding-na%C3%AFve-bayes-denis-burakov-0aosf,Scorecarding with Naive Bayes,7155476795474030592,WOE-Naive Bayes scorecarding,linkedin_article_public_pending_capture,Es el articulo largo asociado al post Naive Bayes/WOE.,Cerrar al mapear WOE/NB a capitulo 05 y decidir si appendix teorico vale la pena.
article_leveraging_profit_scoring,https://www.linkedin.com/pulse/leveraging-profit-scoring-digital-loan-underwriting-denis-burakov,Leveraging Profit Scoring in Digital Loan Underwriting,,"Profit scoring, ARR, Bondora, risk-adjusted returns",linkedin_article_public_pending_capture,"Potencial para capitulo 09 sobre decisiones economicas, aunque dataset/profit target difiere.",Cerrar cuando se decida si queda como future-work/portfolio economics o archivo.
article_balancing_risk_and_profit,https://www.linkedin.com/pulse/balancing-risk-profit-denis-burakov-3sixe,Balancing Risk and Profit,,"Profit-based credit models, risk rating, OptBinning",linkedin_article_public_pending_capture,Puede fortalecer el lenguaje de trade-off riesgo/retorno del capitulo 09.,Cerrar como context/future-work salvo que aporte fuente academica reusable.
article_benchmarking_pd_models,https://www.linkedin.com/pulse/benchmarking-pd-models-denis-burakov,Benchmarking PD Models,,"PD benchmarking, Gini caveats, cutoffs, model comparison",linkedin_article_public_pending_capture,Directamente alineado con capitulo 06 y guardrails de comparacion.,Cerrar tras extraer solo lenguaje de context y referencias externas.
article_exploring_scorecard_boosting,https://www.linkedin.com/pulse/exploring-interpretable-scorecard-boosting-denis-burakov,Exploring Interpretable Scorecard Boosting,7320341844326797319,Scorecard boosting and WOE LR challengers,linkedin_article_public_pending_capture,Articulo largo para la linea xBooster/CatBoost/scorecard boosting.,Cerrar al decidir si alimenta related work/prototype parking.
article_unlocking_lending_profitability,https://www.linkedin.com/pulse/unlocking-lending-profitability-risk-modeling-denis-burakov,Unlocking Lending Profitability with Risk Modeling,,Risk-based pricing and lending profitability,linkedin_article_public_pending_capture,Contexto para decisiones economicas del capitulo 09.,Cerrar como context/future-work o fuente de referencias externas.
