source_key,status,source_type,url,paper_estrella_use,paper4_use,recommended_action,claim_boundary
vovk2005,existing_bib,foundational_book,https://link.springer.com/book/10.1007/978-3-031-06649-8,Conformal prediction foundation,Conformal foundation,keep_cited,Distribution-free validity under exchangeability does not imply all subgroup/source guarantees.
romano2019,existing_bib,peer_reviewed_preprint,https://arxiv.org/abs/1905.03222,Conformalized quantile regression foundation,Interval construction context,keep_cited,Prediction intervals are not by themselves decision-optimal portfolios.
bates2021rcps,existing_bib,peer_reviewed_preprint,https://arxiv.org/abs/2101.02703,Risk-controlling prediction sets,General risk-control framing,keep_cited,Risk control should be tied to explicit operational loss.
angelopoulos2024risk,existing_bib,peer_reviewed,https://arxiv.org/abs/2208.02814,Conformal risk control for monotone losses,Risk-control method family,keep_cited,Supports finite-sample risk control but not arbitrary conditional validity.
angelopoulos2025ltt,existing_bib,peer_reviewed,https://www.gsb.stanford.edu/faculty-research/publications/learn-then-test-calibrating-predictive-algorithms-achieve-risk,Learn-then-Test risk calibration,Reviewer-facing guarantee language,keep_cited,Use for calibrated risk claims rather than stronger individual-level claims.
barber2021_limits_conditional,candidate_add_bib,peer_reviewed_preprint,https://arxiv.org/abs/1903.04684,Boundary for conditional/source coverage claims,Boundary for online/source conformal lane,add_if_text_mentions_source_coverage,Exact distribution-free conditional coverage is generally impossible without assumptions.
gibbs2021aci,existing_bib,peer_reviewed,https://papers.nips.cc/paper_files/paper/2021/hash/0d441de75945e5acbc865406fc9a2559-Abstract.html,Maybe cite as future online extension,Online conformal lane,keep_cited_or_appendix_only,ACI needs online feedback/temporal updating; current evaluation is retrospective.
gibbs2024,existing_bib,peer_reviewed,https://arxiv.org/abs/2305.12616,Conditional guarantee context,Source/subgroup guarantee context,keep_cited,Approximate conditional guarantees require conditions and careful grouping.
bostrom2021,existing_bib,peer_reviewed,https://proceedings.mlr.press/v152/bostrom21a.html,Mondrian context if subgroup coverage discussed,Source-family grouping context,appendix_only,Group conditioning trades sample size and interval efficiency.
zhou2024_equalized,existing_bib,peer_reviewed_preprint,https://arxiv.org/abs/2405.15106,Fairness-aware conformal context,Proxy governance appendix,appendix_only,Equalized coverage is not the same as legal fair-lending compliance.
johnstone2021,existing_bib,peer_reviewed,https://proceedings.mlr.press/v152/johnstone21a.html,Closest conformal robust optimization neighbor,Method lineage,keep_cited,Uncertainty-set calibration supports robust decisions but not automatic economic dominance.
patel2024,existing_bib,peer_reviewed_preprint,https://arxiv.org/abs/2310.10003,Contextual robust optimization neighbor,Method lineage,keep_cited,Use as adjacent method; avoid claiming identical setup.
sun2024ptc,existing_bib,peer_reviewed_preprint,https://proceedings.neurips.cc/paper_files/paper/2023/hash/397271e11322fae8ba7f827c50ca8d9b-Abstract-Conference.html,Robust contextual LP via calibration,Bridge to optimization under uncertainty,keep_cited,PTC supports calibrated robust LP framing; CRPTO still needs its own empirical evidence.
bertsimas2004,existing_bib,peer_reviewed,https://pubsonline.informs.org/doi/10.1287/opre.1030.0065,Robust optimization foundation,Robustness price framing,keep_cited,Uncertainty budgets are a design choice and require sensitivity evidence.
elmachtoub2022,existing_bib,peer_reviewed,https://pubsonline.informs.org/doi/10.1287/mnsc.2020.3922,Decision-focused comparator not baseline,SPO/DFL lane context,keep_as_comparator,Do not turn Paper Estrella into an SPO+ paper.
mandi2024,existing_bib,peer_reviewed_preprint,https://arxiv.org/abs/2307.13565,Decision-focused learning survey,SPO/DFL lane context,appendix_only,DFL is a family of methods; current evidence is only isolated prototype.
agrawal2019_cvxpylayers,candidate_add_bib,peer_reviewed,https://papers.neurips.cc/paper/9152-differentiable-convex-optimization-layers,No direct Paper Estrella claim,SPO/DFL prototype context,add_only_if_prototype_cited,Dependency and DPP constraints make this unsuitable for main pipeline now.
