file_path_v423,surface_v423,rule_code_v423,message_v423,row_v423,column_v423,fixable_v423,claim_boundary_v423
book/_helpers/plot_helpers.py,book,I001,Import block is un-sorted or un-formatted,8,1,True,repository ruff diagnostic inventory only
book/_helpers/plot_helpers.py,book,F401,`numpy` imported but unused,11,17,True,repository ruff diagnostic inventory only
scripts/papers/build_global_v38_project_synthesis.py,scripts,F841,Local variable `state` is assigned to but never used,74,5,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_extended_experiments.py,scripts,B007,Loop control variable `sample_id` not used within loop body,666,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_quarto_restructure.py,scripts,F841,Local variable `v38` is assigned to but never used,93,5,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v10_resolution_wave.py,scripts,SIM108,Use ternary operator `stage2 = pdl.ge(abs_pd) if math.isinf(rel) else pdl.ge(abs_pd) | pdl.ge(pd0 * rel)` instead of `if`-`else`-block,362,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v10_resolution_wave.py,scripts,B023,Function definition does not bind loop variable `path_id`,1141,78,False,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v10_resolution_wave.py,scripts,B905,`zip()` without an explicit `strict=` parameter,1154,34,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,C405,Unnecessary list literal (rewrite as a set literal),195,19,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B905,`zip()` without an explicit `strict=` parameter,314,24,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B905,`zip()` without an explicit `strict=` parameter,340,17,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B905,`zip()` without an explicit `strict=` parameter,715,34,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B023,Function definition does not bind loop variable `path_id`,936,59,False,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B023,Function definition does not bind loop variable `policy_id`,936,68,False,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v11_promising_lanes.py,scripts,B905,`zip()` without an explicit `strict=` parameter,951,31,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v12_resolution_wave.py,scripts,B905,`zip()` without an explicit `strict=` parameter,1340,49,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v12_resolution_wave.py,scripts,B023,Function definition does not bind loop variable `path_id`,1514,59,False,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v12_resolution_wave.py,scripts,B023,Function definition does not bind loop variable `policy_id`,1514,68,False,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v12_resolution_wave.py,scripts,B905,`zip()` without an explicit `strict=` parameter,1535,39,True,repository ruff diagnostic inventory only
