stage_v361,row_count_v361,claim_boundary_v361
v359_unique_source_exact_three_swap_seeds,504,unique v359 source-exact three-swap actions
positive_source_tight_fourth_add_candidates,4385,positive omitted candidates touching v356 tight blocks
ordered_fourth_order_rows,371100576,ordered three-swap seed/add/drop combinations
return_improving,204558146,positive total four-swap return delta only
budget_return_feasible,71227253,budget plus positive return only
grade_source_feasible_alone,29189,grade cap only after budget+return
score_decile_source_feasible_alone,4755163,score_decile cap only after budget+return
income_band_source_feasible_alone,71227253,income_band cap only after budget+return
dti_band_source_feasible_alone,71227253,dti_band cap only after budget+return
period_source_feasible_alone,71227253,period cap only after budget+return
state_top20_source_feasible_alone,71227253,state_top20 cap only after budget+return
source_exact_feasible,4631,all-family source caps after fourth-order screen
cvar_feasible_entering_column,0,source-exact plus CVaR-feasible return-improving rows
