stage_v301,pair_rows_v301,claim_boundary_v301
observed_proxy_candidate_rows,1553,observed-v47 proxy additions outside v295 only
imputed_selected_drop_rows,76,v295 selected loans with imputed proxy source
all_observed_drop_imputed_pair_rows,118028,one-drop/one-add imputation repair scope
budget_feasible_pair_rows,21916,budget range only
source_exact_pair_rows,12915,all v295 source caps exact screen
cvar_feasible_repair_pair_rows,745,CVaR90 no-worse-than-v295 screen
return_improving_repair_pair_rows,0,return-improving imputation repair candidates
tight_relief_feasible_pair_rows,104,feasible repairs that reduce at least one tight source
grade_source_feasible_pair_rows,14839,grade cap screen only
score_decile_source_feasible_pair_rows,13793,score_decile cap screen only
income_band_source_feasible_pair_rows,21916,income_band cap screen only
dti_band_source_feasible_pair_rows,21916,dti_band cap screen only
period_source_feasible_pair_rows,21916,period cap screen only
state_top20_source_feasible_pair_rows,21916,state_top20 cap screen only
