link_id,activity_id,queue_id,source_kind,original_url,canonical_url,domain,source_type,http_status,access_status,priority,anchor_text,context_excerpt,resolve_error
LI-EXT-001,7458410505825685505,LI-LOGIN-001,anchor,https://arxiv.org/abs/2603.05544,https://arxiv.org/abs/2603.05544,arxiv.org,academic_or_preprint,200,resolved,high,https://arxiv.org/abs/2603.05544,"Spot-on analysis regarding how raw Brier scores (BS) can mask a weak model simply because its predictions hover near the baseline event rate. However, Yates Decomposition (YC) math has a major flaw: its forecast variance and covariance terms can cancel each other out and hide true ranking power. We cannot look at the covariance alone to judge ranking power because its true value is contaminated by the variance. Perhaps a cleaner fix would be this relatively new paper: https://arxiv.org/abs/2603.05544. It rearranges the math into 3 simple, strictly positive factors that measure bias (Global Cal",
LI-EXT-002,7458410505825685505,LI-LOGIN-001,comment_block,https://arxiv.org/abs/2603.05544,https://arxiv.org/abs/2603.05544,arxiv.org,academic_or_preprint,200,resolved,high,https://arxiv.org/abs/2603.05544,"Spot-on analysis regarding how raw Brier scores (BS) can mask a weak model simply because its predictions hover near the baseline event rate. However, Yates Decomposition (YC) math has a major flaw: its forecast variance and covariance terms can cancel each other out and hide true ranking power. We cannot look at the covariance alone to judge ranking power because its true value is contaminated by the variance. Perhaps a cleaner fix would be this relatively new paper: https://arxiv.org/abs/2603.05544. It rearranges the math into 3 simple, strictly positive factors that measure bias (Global Cal",
LI-EXT-003,7456960883634663424,LI-LOGIN-002,anchor,https://lnkd.in/ds4bSxWU,https://www.linkedin.com/posts/ilia-ekhlakov_machinelearning-datascience-predicitvemodelling-activity-7403759873034752000-2Sif?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAi24j8BDeyrA2v49v1zdgxvmpNSr3_xGDU,linkedin.com,web_source,200,resolved,low,https://lnkd.in/ds4bSxWU,"Integrating a new data source into a production scoring model usually means retraining from scratch. There's a better way. Ilia Ekhlakov's recent post showed a powerful use case for credit risk data science: fine-tuning on new features as they become available, not just new records. Works for XGBoost, LightGBM, and CatBoost models covered in 𝗑𝖻𝗈𝗈𝗌𝗍𝖾𝗋 package for ML scorecarding. For credit risk models incorporating new data sources like credit bureaus or alternative data providers, this unlocks two things: • Continue training with an expanded feature set • Refresh predictions on recent data ch",
LI-EXT-004,7452612214328537088,LI-LOGIN-004,anchor,https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing,https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing,drive.google.com,google_drive_or_doc,not_resolved,unresolved,medium,https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing,Origination Models: GINI Effect on Bad Rate/ Losses https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing,
LI-EXT-005,7452612214328537088,LI-LOGIN-004,anchor,https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing&usp=embed_facebook,https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing&usp=embed_facebook,drive.google.com,google_drive_or_doc,not_resolved,unresolved,medium,,Origination Models: GINI Effect on Bad Rate/ Losses https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing Gini_effect_on_Bad_Rate_Losses_1684134716.pdf,
LI-EXT-006,7452612214328537088,LI-LOGIN-004,comment_block,https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing,https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing,drive.google.com,google_drive_or_doc,200,resolved,high,https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing,Origination Models: GINI Effect on Bad Rate/ Losses https://drive.google.com/file/d/1HI8Tt9H3fa89hSQwKToXSBnVof7iWhnZ/view?usp=sharing,
LI-EXT-007,7449713105552482304,LI-LOGIN-005,anchor,https://lnkd.in/dFqRfdE8,https://lnkd.in/dFqRfdE8,lnkd.in,shortlink_or_link_hub,200,resolved,medium,https://lnkd.in/dFqRfdE8,"𝗪𝗢𝗘 𝗥𝗲𝗰𝗮𝗹𝗶𝗯𝗿𝗮𝘁𝗶𝗼𝗻: 𝗧𝗵𝗲 𝗙𝗶𝗻𝗲-𝗧𝘂𝗻𝗶𝗻𝗴 𝗧𝗿𝗶𝗰𝗸 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗛𝗮𝘀𝗻'𝘁 𝗡𝗮𝗺𝗲𝗱 𝗬𝗲𝘁 There are two standard options to update credit risk models: full redevelopment (rebuild everything with new data) and simple recalibration (adjust the intercept or scaling). WOE recalibration is a middle ground: you touch one feature's likelihood ratios but leave the overall model intact. With this approach, the bin structure stays fixed, but the likelihood ratios inside them shift. Only the selected risk drivers absorb new evidence, and their WOE values are recalculated and merged back in. This matters in practice because",
LI-EXT-008,7439581405879103488,LI-LOGIN-006,anchor,https://lnkd.in/d4Q7DUAX,https://lnkd.in/d4Q7DUAX,lnkd.in,shortlink_or_link_hub,200,resolved,medium,https://lnkd.in/d4Q7DUAX,"Which observations help (or hurt) your model's Gini? Gini is usually treated as a single summary metric, but it can actually be decomposed down to the observation level. We can compare each observation to all observations of the opposite class (defaults vs non-defaults and vice versa). The more opposite-class observations it outranks, the higher its contribution. Sum all contributions, divide by 2 (each pair is counted from both sides) → Gini. Where is this useful? ✓ Identify misranked observations hurting model performance ✓ Debug feature engineering and data quality issues ✓ Analyze outliers",
LI-EXT-009,7437407111698984960,LI-LOGIN-007,anchor,https://lnkd.in/dRWU88UA,https://lnkd.in/dRWU88UA,lnkd.in,shortlink_or_link_hub,200,resolved,medium,https://lnkd.in/dRWU88UA,"𝘖𝘯 𝘊𝘳𝘦𝘥𝘪𝘵: 𝘚𝘤𝘰𝘳𝘪𝘯𝘨 𝘍𝘰𝘶𝘯𝘥𝘢𝘵𝘪𝘰𝘯𝘴 𝘪𝘯 𝘵𝘩𝘦 𝘈𝘨𝘦 𝘰𝘧 𝘈𝘐 is now available digitally! The paperback has been available since last week. For readers who prefer a digital format and where paperback is unavailable, the Kindle edition and PDF/EPUB versions are now live (including a preview). The book covers historical foundations of credit scoring from Alan Turing's wartime work at Bletchley Park to modern decision systems: decision trees, neural networks, and explainability frameworks used in financial institutions today. It is written for data scientists and risk professionals who want to understand where",
LI-EXT-010,7437407111698984960,LI-LOGIN-007,anchor,https://lnkd.in/dEamxnFj,https://lnkd.in/dEamxnFj,lnkd.in,shortlink_or_link_hub,200,resolved,medium,https://lnkd.in/dEamxnFj,"𝘖𝘯 𝘊𝘳𝘦𝘥𝘪𝘵: 𝘚𝘤𝘰𝘳𝘪𝘯𝘨 𝘍𝘰𝘶𝘯𝘥𝘢𝘵𝘪𝘰𝘯𝘴 𝘪𝘯 𝘵𝘩𝘦 𝘈𝘨𝘦 𝘰𝘧 𝘈𝘐 is now available digitally! The paperback has been available since last week. For readers who prefer a digital format and where paperback is unavailable, the Kindle edition and PDF/EPUB versions are now live (including a preview). The book covers historical foundations of credit scoring from Alan Turing's wartime work at Bletchley Park to modern decision systems: decision trees, neural networks, and explainability frameworks used in financial institutions today. It is written for data scientists and risk professionals who want to understand where",
