stage_v351,row_count_v351,claim_boundary_v351
v348_source_exact_seed_pairs,12,v348 source-exact one-add/one-drop rows
positive_source_tight_second_add_candidates,4385,unique positive omitted candidates touching v350 tight blocks
second_drop_candidates,171,"all selected v347 loans, excluding the seed drop per seed"
ordered_second_order_rows,8944040,ordered seed/add/drop combinations before filters
return_improving,4939758,positive total two-swap return delta only
budget_return_feasible,1718479,budget plus positive return only
grade_source_feasible_alone,732,grade cap only after budget+return
score_decile_source_feasible_alone,113045,score_decile cap only after budget+return
income_band_source_feasible_alone,1718479,income_band cap only after budget+return
dti_band_source_feasible_alone,1718479,dti_band cap only after budget+return
period_source_feasible_alone,1718479,period cap only after budget+return
state_top20_source_feasible_alone,1718479,state_top20 cap only after budget+return
source_exact_feasible,146,all-family source caps after second-order screen
cvar_feasible_entering_column,0,source-exact plus CVaR-feasible return-improving rows
