work_order_id_v379,source_gap_id_v379,lane_v379,priority_v379,can_execute_now_v379,requires_external_dependency_v379,input_artifacts_v379,output_artifact_v379,executable_task_v379,claim_boundary_v379
draft_manuscript_sections_from_patch,full_manuscript_draft_not_created,manuscript,1,True,False,paper4_v374_paper4_claim_language_section_draft.md;paper4_v376_publication_integration_patch.md,paper4_v380_manuscript_section_scaffold.md,"scaffold Abstract, Methods, Results, Limitations and Appendix text from bounded evidence",draft scaffold only
plan_quarto_integration_without_promotion,quarto_submission_pages_not_promoted,publication_infrastructure,1,True,False,paper4_v376_section_integration_map.csv,paper4_v380_manuscript_section_scaffold.md,record target Quarto sections as future edits without changing curated pages,Quarto not promoted
create_verified_literature_source_log,external_literature_source_log_missing,citations,1,True,True,paper4_v376_section_integration_map.csv,paper4_v381_verified_literature_source_log.csv,search and verify related-work sources before any bibliography claim,no fabricated citations
decide_global_solver_scope_language,full_v55_global_certificate_missing,solver_global,1,True,False,paper4_v363_v353_full_dual_bound_or_gap_certificate.csv,paper4_v382_global_solver_scope_decision.md,either keep global optimality prohibited or define a separate certificate route,bounded/gap evidence only
design_targeted_source_governance_audit,source_governance_full_v55_source_exact_missing,source_governance,1,True,False,paper4_v373_sampled_chunk_source_screen.csv,paper4_v383_source_governance_audit_plan.csv,turn sampled zero-source-exact evidence into a targeted audit plan,diagnostic only
acquire_external_live_holdout_panel,external_live_holdout_missing,live_validation,1,False,True,paper4_v375_live_gate_data_contract.csv,external_holdout_panel_not_available,requires external/future holdout data before live claims,live deployment blocked
obtain_online_shadow_monitoring_log,online_shadow_monitoring_missing,live_validation,2,False,True,paper4_v375_live_gate_data_contract.csv,shadow_monitoring_log_not_created,requires shadow deployment environment and monitoring log,production monitoring blocked
obtain_ifrs9_contractual_coverage,ifrs9_contractual_coverage_missing,regulatory_ifrs9,1,False,True,paper4_v375_claim_permission_register.csv,ifrs9_contractual_coverage_not_complete,requires complete contractual IFRS9 coverage and approval,IFRS9 proxy diagnostics only
obtain_legal_fairness_review,legal_fairness_review_missing,legal_fairness,1,False,True,paper4_v375_claim_permission_register.csv,legal_fairness_review_not_created,requires approved legal fairness attribute review,legal fairness compliance blocked
assemble_formal_spo_dla_review_packet,formal_spo_dla_approval_missing,formal_methods,2,True,False,paper4_v375_live_gate_data_contract.csv,paper4_v384_formal_spo_dla_review_packet.md,assemble a review packet while keeping formal claims blocked,historical audit only
triage_full_regression_quarto_failure,full_regression_suite_not_clean,validation,1,True,False,tests/test_docs/test_paper4_living_lab_guardrails.py,paper4_v385_validation_gap_triage.md,separate known old Quarto registration failure from current wave guardrails,targeted guardrails only
