n,activity_id,post_url,title,relevance,theme,summary_es,tesis_use,attachment_type,external_links,short_snippet_under_25_words
1,7458410505825685505,https://www.linkedin.com/feed/update/urn:li:activity:7458410505825685505/,Why Brier Score Can Pick the Wrong Model (And How to Avoid It),Alta,Calibracion y seleccion de modelos,"Brier puede empatar modelos con capacidades de ranking muy distintas; para PD conviene separar discriminacion, rango de probabilidades y calibracion.","Notebook 03: reportar Brier junto con Gini/AUC, KS y ECE; no seleccionar CatBoost solo por Brier.",Image/carousel,,"Why Brier Score Can Pick the Wrong Model (And How to Avoid It) Brier score, also known as mean probability score, is"
2,7456960883634663424,https://www.linkedin.com/feed/update/urn:li:activity:7456960883634663424/,Integrating a new data source into a production scoring model usually means retraining from scratch.,Alta,Model maintenance y nuevas variables,"Fine-tuning de GBDT permite incorporar nuevas fuentes de datos sin reconstruir todo el modelo, usando init_model y trazabilidad SHAP.",Arquitectura futura: monitoreo y actualizacion incremental de CatBoost cuando entren nuevas variables bureau/alternativas.,Image/carousel,Ilia Ekhlakov: https://www.linkedin.com/in/ilia-ekhlakov/ | https://lnkd.in/ds4bSxWU: https://lnkd.in/ds4bSxWU,Integrating a new data source into a production scoring model usually means retraining from scratch. There's a better way. Ilia Ekhlakov's recent
3,7454786558127161344,https://www.linkedin.com/feed/update/urn:li:activity:7454786558127161344/,"Working on credit risk models, you can discover a whole parallel shelf of metrics typically hidden from mainstre...",Alta,Metricas de ranking,"Coleccion de metricas menos comunes para credit risk: Somers D, medidas ordinales, calibracion y performance mas alla de accuracy.","Notebook 03/04: ampliar tabla de evaluacion con Gini, Somers D y diagnosticos de calibracion.",LinkedIn document/deck,,"Working on credit risk models, you can discover a whole parallel shelf of metrics typically hidden from mainstream data science. Beyond accuracy,"
4,7452612214328537088,https://www.linkedin.com/feed/update/urn:li:activity:7452612214328537088/,Not all useful credit research makes it to top headlines.,Alta,Economia de Gini y distribuciones score,"Relaciona Gini con separacion bi-normal de goods/bads, acceptance rate y reduccion de perdidas por punto de Gini.",Notebook 08: conectar mejora de ranking con utilidad economica y restricciones de aprobacion/portfolio.,Image/carousel,,"Not all useful credit research makes it to top headlines. Recently I saw a paper claiming a 130% PR-AUC ""breakthrough"" in credit"
5,7449713105552482304,https://www.linkedin.com/feed/update/urn:li:activity:7449713105552482304/,WOE Recalibration: The Fine-Tuning Trick Credit Risk Hasn't Named Yet,Alta,WOE recalibration,"Recalibrar WOE por variable preserva bins y estructura del scorecard, como punto medio entre intercept recalibration y redevelopment.",Notebook 02/03: idea para drift: recalibrar WOE cuando una variable cambia sin rehacer todo el scorecard.,Image/carousel,https://lnkd.in/dFqRfdE8: https://lnkd.in/dFqRfdE8,WOE Recalibration: The Fine-Tuning Trick Credit Risk Hasn't Named Yet There are two standard options to update credit risk models: full redevelopment
6,7439581405879103488,https://www.linkedin.com/feed/update/urn:li:activity:7439581405879103488/,Which observations help (or hurt) your model's Gini?,Alta,Debug de Gini,"Descompone Gini a nivel observacion para detectar pares mal ordenados, outliers y segmentos que reducen ranking power.",Notebook 03/backtesting: diagnostico de observaciones Lending Club que mas perjudican Gini.,Image/carousel,https://lnkd.in/d4Q7DUAX: https://lnkd.in/d4Q7DUAX,"Which observations help (or hurt) your model's Gini? Gini is usually treated as a single summary metric, but it can actually be"
7,7437407111698984960,https://www.linkedin.com/feed/update/urn:li:activity:7437407111698984960/,On Credit: Scoring Foundations in the Age of AI is now available digitally!,Alta,Libro y fundamentos,Recurso central: historia y fundamentos de credit scoring desde WOE/logistic hasta ML y explicabilidad.,"Marco teorico para tesis: justificar WOE, scorecards, ML tabular y XAI en riesgo regulado.",Image/carousel,https://lnkd.in/dRWU88UA: https://lnkd.in/dRWU88UA | https://lnkd.in/dEamxnFj: https://lnkd.in/dEamxnFj,On Credit: Scoring Foundations in the Age of AI is now available digitally! The paperback has been available since last week. For
8,7436682459037089793,https://www.linkedin.com/feed/update/urn:li:activity:7436682459037089793/,"Most credit scorecards use main effects only: one feature, one bin, one WOE value.",Alta,Scorecards con interacciones GBDT,"Usa hojas de GBDT como bins conjuntos WOE y las alimenta a regresion logistica interpretable, capturando interacciones.",Notebook 02/03: posible extension a int_rate_bucket__grade y otros bins conjuntos.,LinkedIn document/deck,,"Most credit scorecards use main effects only: one feature, one bin, one WOE value. But what if you could capture feature interactions"
9,7435957418662207488,https://www.linkedin.com/feed/update/urn:li:activity:7435957418662207488/,Officially AWS Certified Generative AI Developer - Professional (and an Early Adopter too)!,Baja,Certificacion GenAI/AWS,Reflexion general sobre cambio de skillset hacia sistemas AI/ML escalables.,"Contexto profesional, no prioridad para tesis.",Image/carousel,,"Officially AWS Certified Generative AI Developer - Professional (and an Early Adopter too)! If you still hold the ML Specialty certification,"
10,7435378973288685568,https://www.linkedin.com/feed/update/urn:li:activity:7435378973288685568/,Had an amazing day today at Data Demystified Summit in Berlin!,Media,Calidad de datos y adopcion analitica,"Notas sobre mala calidad de datos, dashboards inutilizados y soberania cloud; util como recordatorio operacional.",Seccion MLOps/data quality del proyecto; no tecnica central.,Image/carousel,Data Demystified Summit: https://www.linkedin.com/company/data-demystified-summit/ | Piano: https://www.linkedin.com/company/piano-io/,Had an amazing day today at Data Demystified Summit in Berlin! A few things that stuck with me: Marie from Piano
