n,activity_id,post_url,title,relevance,theme,summary_es,tesis_use,attachment_type,external_links,short_snippet_under_25_words
1,7447901245949792256,https://www.linkedin.com/posts/denisburakov_datascience-machinelearning-nlp-activity-7447901245949792256-Fxkf,You already understand LLMs better than you think,Media,"MLE as bridge between scorecards, NLP, and LLMs","Conecta WOE/logistic regression con conteos NLP y entrenamiento de LLMs via maximum likelihood; util como marco pedagogico, no como evidencia de credito.",Libro Quarto: contextualizar MLE/logit/WOE; Paper Estrella: solo framing si se mantiene fuente secundaria.,Image/link/article,https://lnkd.in/dhxUaTt4,"MLE connects scorecards, word-frequency models, bigrams, and GPT-style training loops."
2,7376148352284901376,https://www.linkedin.com/posts/denisburakov_explainable-credit-risk-models-activity-7376148352284901376-Mj2m,Explainable Credit Risk Models,Alta,"WOE, logistic regression, boosting, explainability workshop","Deck corto del workshop con WOE, regresion logistica y boosting como puente entre scorecards reguladas y ML interpretable.","Libro capitulos 05/10/11; Paper 4 como contexto de distilacion, WOE y governance, sin promover claims desde LinkedIn solamente.",LinkedIn document/deck,,"Workshop deck on WOE, logistic regression, ensemble learning, and practical credit-risk explainability."
3,7211748798618824704,https://www.linkedin.com/posts/denisburakov_creditriskmodeling-lending-modelriskmanagement-activity-7211748798618824704-BeWw,Credit Scoring with Trended Data,Alta,"Trended data, transactional sequences, neural representations",Argumenta que atributos historicos y secuencias transaccionales pueden mejorar Gini al aportar informacion temporal frente a snapshots puntuales.,Paper 4: limitacion/future-work por falta de secuencias; Libro: capitulo de feature engineering y drift.,Image/link,https://linktr.ee/deburky,Trended scoring uses historical behavior rather than point-in-time snapshots.
4,7328316894258577408,https://www.linkedin.com/posts/denisburakov_poisson-models-activity-7328316894258577408-5klk,Poisson Models,Media,Count models versus default probability models,Distingue modelos de conteo de modelos binarios de default; incluye Fisher scoring y discusion de zero inflation/negative binomial.,Libro: nota conceptual GLM; Proyecto: no implementar para PD binaria salvo futura linea de eventos repetidos/cobranza.,Image/carousel/link,https://lnkd.in/dnfgP4AJ,Poisson fits event counts; PD default remains a one-time binary event in most credit settings.
5,7381584253375025152,https://www.linkedin.com/posts/denisburakov_enhancing-explainability-in-credit-scoring-activity-7381584253375025152-ilAM,Enhancing Explainability in Credit Scoring,Alta,Constrained tree scorecards and responsible ML,Presenta blueprint de modelos tree-based restringidos que buscan competir con scorecards sin perder calibracion ni interpretabilidad.,Paper 4/Paper Estrella: related-work framing; Libro capitulo 11.,Image/link/GitHub,https://lnkd.in/dVjjSfeJ,Constrained tree-based models as a responsible bridge between scorecards and ML.
6,7346062624972754944,https://www.linkedin.com/posts/denisburakov_woe-log-odds-and-standard-errors-activity-7346062624972754944-3yJB,"WOE, Log Odds, and Standard Errors",Alta,WOE uncertainty and logistic standard errors,Propone cuantificar incertidumbre de WOE conectando log-odds por bin con errores estandar de regresion logistica.,Libro capitulo 05; Paper 4: appendix/prototype de incertidumbre WOE si existe fuente verificable.,Image/link/GitHub,https://lnkd.in/dFgQAEWG | https://lnkd.in/dPYBzzYi,WOE uncertainty can be tied to familiar logistic-regression standard errors.
7,7320341844326797319,https://www.linkedin.com/posts/denisburakov_build-explainable-scorecards-with-catboost-activity-7320341844326797319-2NcG,Build explainable scorecards with CatBoost,Alta,CatBoost-to-scorecard extraction,Anuncia soporte CatBoost en xBooster para extraer reglas interpretables de arboles y producir scorecards compatibles con auditoria.,Paper 4: related work/prototype parking; Libro capitulo 11.,External article/GitHub,https://lnkd.in/djgXGmnJ | https://lnkd.in/dySsE_Z6,CatBoost rules can be compressed into explainable scorecard-like structures.
8,7155476795474030592,https://www.linkedin.com/posts/denisburakov_credit-risk-modeling-with-naive-bayes-activity-7155476795474030592-8HtC,Credit Risk Modeling with Naive Bayes,Alta,WOE as log-likelihood ratio / Naive Bayes scorecarding,"Explica WOE como log-likelihood ratio bajo independencia Naive Bayes, con enlaces a boosting NB y pseudo-WOE.",Libro capitulo 05; Paper 4: nota teorica/appendix si ayuda a defender WOE.,Image/link/article,https://lnkd.in/dsbbHi-M | https://lnkd.in/dcTST2NY | https://linktr.ee/deburky,WOE can be read as a Naive Bayes log-likelihood ratio.
9,7366001503611924480,https://www.linkedin.com/posts/denisburakov_creditriskmodeling-datascience-machinelearning-activity-7366001503611924480-tg_i,Machine Learning in Internal Credit Risk Models,Alta,ECB/IRB model governance and ML reproducibility,"Resume expectativas ECB sobre ML en modelos internos: seeds, orden de observaciones, explainability y conceptual soundness.","Libro capitulo 10/14/19; Paper Estrella: defensa de governance/reproducibilidad, no champion.",LinkedIn document/deck/link,https://lnkd.in/dbKAXYHU,"ML changes the functional form, not the economic purpose or governance duties of risk models."
10,7372524468570689537,https://www.linkedin.com/posts/denisburakov_information-theoretic-framework-for-credit-activity-7372524468570689537-eQlT,Information-Theoretic Framework for Credit Risk Modeling,Alta,"IV, PSI, Jeffreys divergence, fairness/performance tradeoff",Post sobre paper SSRN que relaciona IV/PSI con divergencia de Jeffreys y errores estandar para governance/fairness.,Libro capitulo 05/10; Paper 4/Paper Estrella: solo si paper SSRN se etiqueta como preprint y se verifica.,Image/link/preprint,https://lnkd.in/dWnRG7Wu,IV and PSI are framed as Jeffreys divergence with uncertainty-aware tests.
11,7181176150688223232,https://www.linkedin.com/posts/denisburakov_python-logisticregression-logisticregression-activity-7181176150688223232-b8mn,Logistic Regression with Fisher Scoring,Media,"MLE, Fisher scoring, focal loss, confidence diagnostics",Carousel de implementacion desde cero de logistic regression por Fisher scoring; incluye focal loss y diagnosticos de confianza.,Libro capitulo 06 o appendix pedagogico; Paper 4: no implementar salvo necesidad didactica.,Image/carousel/links,https://lnkd.in/ebHdg-fB | https://lnkd.in/dGSxaKAS | https://lnkd.in/dzg3g6Z9 | https://lnkd.in/dJfthBa7,Fisher scoring estimates logistic regression without a manually tuned learning rate.
12,7173943545752383488,https://www.linkedin.com/posts/denisburakov_additive-logistic-regression-activity-7173943545752383488-mnVZ,Additive Logistic Regression,Media,LogitBoost and additive logistic models,Presenta LogitBoost como puente entre regresion logistica y gradient boosting para clasificacion crediticia.,Libro capitulo 06/11; Paper 4: related-work/parking para boosting scorecards.,Image/carousel/links,https://lnkd.in/edwQq2Rq | https://lnkd.in/ebHdg-fB | https://lnkd.in/dGSxaKAS,LogitBoost adds logistic components in a boosting framework for classification.
13,7368538277517156352,https://www.linkedin.com/posts/denisburakov_hidden-tricks-in-catboost-you-should-know-activity-7368538277517156352-udoZ,Hidden Tricks in CatBoost You Should Know,Media,"CatBoost explainability, feature stats, MLflow/SageMaker","Post sobre practicas de CatBoost en riesgo: explainability, feature statistics, texto/embeddings y MLflow en SageMaker.",Libro capitulo 10/11; Paper 4: solo context/prototype parking si el articulo aporta detalles reproducibles.,External article/image,https://lnkd.in/dCnwZ3tj,"CatBoost risk-modeling practices: explainability, feature statistics, text/embeddings, and MLflow deployment."
