source_key,local_pdf_location,decision,paper_estrella_use,paper4_use,claim_boundary
angelopoulos2023,Papers_tesis/A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification.pdf,core_foundation,Pedagogical foundation for split conformal and distribution-free uncertainty; replace overreliance on ALRW in exposition,Teaching/thesis background only,Foundation source not a portfolio decision guarantee
angelopoulos2026_foundations,Papers_tesis/Theoretical Foundations of Conformal Prediction.pdf,core_foundation,Modern proof foundation for exchangeability quantiles split conformal and limits of distribution-free inference,Use as proof-audit reference for future appendix,Pre-publication foundation; cite for theory language not new empirical evidence
angelopoulos2024risk,Papers_tesis/Conformal_Risk_Control.pdf,core_bound_lineage,Core ancestor for viewing funded-set weighted noncoverage as a monotone bounded risk,Formal gate template for Paper 4 lanes,CRC controls expected monotone loss; it does not solve post-selection or conditional coverage alone
bates2021rcps,Papers_tesis/Distribution-Free Risk-Controlling Prediction Sets.pdf,core_bound_lineage,General risk-controlling prediction set lineage,Governance gate language for append/park decisions,General risk control not credit-portfolio-specific
angelopoulos2025ltt,Papers_tesis/Learn then test.pdf,core_bound_lineage,Finite-sample calibrate-then-test language for reviewer-facing guarantees,Lane 1 CRC/LTT governance and stop rules,LTT is a calibration/testing framework not a deployed policy
einbinder2024_label_noise,shared_future_work/Label Noise Robustness of Conformal Prediction.pdf,append_or_future,Threat-to-validity note about noisy default/charge-off labels and clean economic loss,Data-governance appendix for label definitions and servicing noise,Does not imply current labels are corrupted; only bounds what would need checking
angelopoulos2026_nonmonotonic_crc,shared_future_work/Conformal Risk Control for Non-Monotonic Losses.pdf,future_work,Future path for decision losses combining return V CVaR source risk and fairness proxies,Future non-monotone multi-parameter lane gate,Too new and not implemented; no current champion change
angelopoulos2025_gradient_equilibrium,shared_future_work/GradientEquilibriuminOnlineLearning - TheoryandApplications.pdf,future_work,Online calibration/drift future work only,Online source-drift and post-hoc update prototype candidate,Online updates are not current deployment evidence
conformal_risk_repo,github.com/aangelopoulos/conformal-risk,implementation_pattern,Shows CRC lambda gate can be only a few lines conceptually,Prototype Paper 4 gate for monotone losses,Reference implementation pattern only; do not vendor code into pipeline now
conformal_time_series_repo,github.com/aangelopoulos/conformal-time-series,implementation_pattern,Supports online conformal as future work caveat,ACI/PID/quantile tracking recipe for issue-month drift experiments,Retrospective experiments only until prospective data exists
