source_family,method_v57,min_support_v57,global_delta_v57,small_cell_bonus_v57,source_month_defended_min_v57,policy_month_defended_min_v57,avg_width_loan_v57,n_defended_source_cells_v57,n_defended_policy_cells_v57,gate_source80_policy90_width95_v57,strict_live_deployability_claim_allowed,claim_boundary_v57,repair_decision_v57
grade,direct_hierarchical_qhat_bonus,3,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,3,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,3,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,3,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,3,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,10,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,10,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,10,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,10,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,10,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,20,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,99,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,20,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,99,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,20,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,99,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,20,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,99,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,20,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,99,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,40,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,99,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,40,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,99,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,40,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,99,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,40,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,99,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
grade,direct_hierarchical_qhat_bonus,40,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,99,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,3,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,3,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,3,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,3,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,3,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
