contract_id_v375,gate_tier_v375,required_data_asset_v375,required_schema_v375,minimum_required_evidence_count_v375,current_evidence_count_v375,current_source_artifact_v375,data_asset_available_v375,claim_gate_met_v375,claim_language_unlocked_v375,claim_language_blocked_v375,blocking_evidence_v375,next_validation_artifact_v375,claim_boundary_v375
bounded_publication_language_pack,offline_publishable,bounded manuscript language with evidence citations,section_id; draft_text; citation_keys; claim_boundary,5,5,paper4_v374_claim_language_section_draft.csv;paper4_v374_evidence_citation_map.csv,True,True,bounded living-lab manuscript language,working champion; live; legal; final,prohibited-language register remains active,paper4_v376_publication_integration_patch.md,offline manuscript wording only
dynamic_proxy_trace_dataset,offline_proxy,dynamic proxy replay trace,policy_id; period; proxy decision; trace metric; claim label,1,768,paper4_v297_dynamic_proxy_trace.parquet,True,True,offline proxy replay evidence,strict live deployment,proxy trace is not external/future live data,paper4_v376_publication_integration_patch.md,proxy replay only
external_future_holdout_panel,live_deployment,external or future holdout decision panel,loan_id; decision_timestamp; policy_id; funded_flag; realized_outcome,1,0,paper4_v369_gate_requirement_matrix.csv,False,False,none,strict live deployment,external live pass rows are zero,external_holdout_panel_not_available,live claim blocked
online_shadow_monitoring_log,live_deployment,shadow deployment monitoring log,timestamp; policy_id; prediction; outcome; alert_state,1,0,not_created,False,False,none,production monitoring readiness,no shadow deployment log exists,shadow_monitoring_log_not_created,monitoring claim blocked
deployment_monitoring_runbook,live_deployment,deployment monitoring and rollback runbook,owner; threshold; rollback action; audit cadence,1,0,not_created,False,False,none,production deployment readiness,no deployment runbook exists,deployment_runbook_not_created,deployment claim blocked
ifrs9_contractual_coverage_dataset,contractual_ifrs9,complete contractual IFRS9 input coverage,loan_id; stage; ead; pd; lgd; scenario; approval_status,0,76,paper4_v298_ifrs9_v295_proxy_coverage.csv,False,False,none,contractual IFRS9 claim,76 proxy rows remain uncovered,ifrs9_contractual_coverage_not_complete,IFRS9-inspired proxy only
legal_fairness_attribute_review_file,legal_fairness,approved legal fairness attribute review,attribute; legal basis; consent status; reviewer; decision,1,0,not_created,False,False,none,legal fairness compliance,fair lending legal review is not in the lab,legal_fairness_review_not_created,fairness proxy diagnostics only
formal_spo_dla_review_packet,formal_method,approved SPO/DLA formal claim review,claim_id; theorem_or_proof; reviewer; approval_status,1,2,paper4_v369_gate_requirement_matrix.csv,True,False,historical audit only,formal SPO/DLA method claim,"v369 records historical audit rows, not approval",formal_claim_review_not_approved,formal claim blocked
full_v55_dual_bound_certificate,global_solver,full-v55 reduced-cost dual-bound certificate,column_id; reduced_cost; dual_bound; termination_flag,0,5738,paper4_v363_v353_full_dual_bound_or_gap_certificate.csv,False,False,none,full-v55 global optimality,5738 improving omitted columns remain,full_v55_certificate_not_available,bounded/gap evidence only
source_governance_full_v55_chunk_screen,source_governance,source-exact full-v55 chunk evidence,chunk_id; source_exact_rows; blocker_family; pass_rows,1,0,paper4_v373_sampled_chunk_source_screen.csv,False,False,none,full-v55 source-governance proof,sampled source-exact rows are zero,source_exact_chunk_evidence_not_available,source-governance blocker remains
final_promotion_approval_gate,final_promotion,approved Paper 4 final-promotion artifact,champion_id; approval_id; reviewer; generated_at,1,0,paper4_final_promotion.json,False,False,none,Paper 4 final promotion,final promotion artifact is absent by design,paper4_final_promotion_gate_not_created,final promotion forbidden
