asset_id_v477,asset_type_v477,source_asset_v477,insertion_order_v477,manuscript_section_v477,callout_role_v477,draft_caption_v477,must_preserve_caveat_v477,caption_final_v477,inserted_into_quarto_v477,claim_boundary_v477
T5,table,paper4_v471_formal_claim_boundary_matrix.csv,1,methods_protocol,methods_boundary_table,"Formal SPO-DLA claim boundary matrix. Bounded historical audit language is permitted, while SPO+/DLA theorem and CRC guarantee claims remain blocked.",True,False,False,no formal theorem or CRC guarantee
F4,figure,paper4_fig4_regret_auditability_frontier.png,2,methods_protocol,methods_context_figure,Regret-auditability frontier context for historical SPO-DLA positioning. The figure does not establish a formal theorem.,True,False,False,no formal SPO-DLA theorem claim
T1,table,paper4_v467_cvar_frontier_probe.csv,3,results_evidence,frontier_results_table,"Local return/CVaR frontier chain for v338, v347 and v353. The table supports only a local frontier claim; full-v55 proof and working-champion language remain blocked.",True,False,False,no full-v55 optimality or champion claim
F1,figure,paper4_fig5_return_ecl_tail_frontier.png,4,results_evidence,frontier_context_figure,"Return, ECL and tail-risk frontier context. The figure is retained as visual context and must be read with the current v467 local frontier table.",True,False,False,visual context only; v467 table carries current claim
T2,table,paper4_v468_tight_source_rankings.csv,5,results_evidence,source_governance_table,Tight source-governance ranking after the domain refresh. Grade A is documented as the primary source blocker without authorizing cap relaxation.,True,False,False,no source cap approval or mutation
F2,figure,paper4_fig10_mdcp_worst_source_v2.png,6,results_evidence,source_context_figure,Worst-source governance coverage context. The figure motivates the source-governance lane without implying legal fairness certification or cap approval.,True,False,False,no cap relaxation or legal fairness certification
T4,table,paper4_v470_online_monitoring_proxy_summary.csv,7,results_evidence,online_proxy_table,Internal online conformal monitoring proxy summary. The evidence is internal and replay-based; external holdout and production monitoring claims remain blocked.,True,False,False,no production monitoring claim
F3,figure,paper4_fig12_online_method_search.png,8,results_evidence,online_context_figure,"Online conformal method-search context. The figure supports internal monitoring proxy discussion, not production monitoring.",True,False,False,no external holdout or production monitoring claim
T3,table,paper4_v469_current_frontier_dynamic_gap.csv,9,discussion_limitations,dynamic_gap_limitations_table,"Dynamic replay gap for the current local frontier. v338 remains the dynamic proxy anchor, while v353 lacks a dynamic replay trace.",True,False,False,no live dynamic deployment language
T6,table,paper4_v472_ifrs9_requirement_audit.csv,10,discussion_limitations,ifrs9_gap_limitations_table,Contractual IFRS9 requirement-gap audit. The table supports proxy and gap language only; contractual/accounting compliance remains blocked.,True,False,False,no contractual accounting compliance claim
