queue_id,activity_id,title,capture_status,comment_count,high_priority_external_count,decision,project_destination,possible_executable_or_implementable,stop_condition,evidence_status
ANDRIJA-LOGIN-001,7463579851317239808,LinkedIn post,not_authenticated_or_checkpoint,0,0,archive_login_blocked_surface,Archive.,No action; LinkedIn returned signup/checkpoint surface in the owned logged-in profile copy.,Closed with no bypass; do not attempt captcha/checkpoint evasion.,logged_in_blocked_no_bypass
ANDRIJA-LOGIN-002,7462756612538073090,LinkedIn post,capture_error,0,0,archive_capture_error_surface,Archive.,No action; HTTP error remained after logged-in Opera pass.,Closed unless a normal visible permalink becomes available later.,capture_error_logged
ANDRIJA-LOGIN-003,7464688200981102592,Profile activity 7464688200981102592,not_authenticated_or_checkpoint,0,0,archive_login_blocked_surface,Archive.,No action; LinkedIn returned signup/checkpoint surface in the owned logged-in profile copy.,Closed with no bypass; do not attempt captcha/checkpoint evasion.,logged_in_blocked_no_bypass
ANDRIJA-LOGIN-004,7464591835819204608,Profile activity 7464591835819204608,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-005,7464578755382976512,Profile activity 7464578755382976512,logged_in_rendered_capture_complete,2,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-006,7464473809778212864,Profile activity 7464473809778212864,logged_in_rendered_capture_complete,26,0,archive_dense_irrelevant_comment_thread,Archive.,No project action; dense thread is not credit-risk material.,Closed as humorous/non-substantive for credit-risk modeling.,private_comment_context_archived
ANDRIJA-LOGIN-007,7464417800288137216,Profile activity 7464417800288137216,logged_in_rendered_capture_complete,4,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-008,7464369310325702657,Profile activity 7464369310325702657,logged_in_rendered_capture_complete,9,3,promote_to_crpto_metric_governance,Mini libro CRPTO; thesis validation chapter; Paper 4 only as a gated appendix prototype.,Add IV threshold uncertainty and inherited-heuristic governance; optionally benchmark J-Divergence IV testing against current WOE/IV filters without changing the champion.,"Closed when the arXiv IV paper is logged as preprint evidence, CRPTO caveat text is updated, and no new public claim relies on LinkedIn comments alone.",external_preprint_read_plus_private_comment_context
ANDRIJA-LOGIN-009,7461301929135022080,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗔𝘃𝗲𝗿𝗮𝗴𝗲 𝗧𝗲𝘀𝘁𝗶𝗻𝗴,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-010,7435946096050339840,𝗔 𝗠𝗼𝗱𝗲𝗹-𝗕𝗮𝘀𝗲𝗱 𝗔𝗽𝗽𝗿𝗼𝗮𝗰𝗵 𝘁𝗼 𝗗𝗶𝘀𝗰𝗿𝗲𝘁𝗲 𝗣𝗗 𝗥𝗮𝘁𝗶𝗻𝗴 𝗦𝗰𝗮𝗹𝗲 𝗖𝗮𝗹𝗶𝗯𝗿𝗮𝘁𝗶𝗼𝗻 - 𝗟𝗼𝗴𝗶𝘀𝘁𝗶𝗰 𝗥𝗲𝗴𝗿𝗲𝘀𝘀𝗶𝗼𝗻 𝗜𝗻𝘁𝗲𝗿𝗰𝗲𝗽𝘁 𝗢𝗽𝘁𝗶𝗺𝗶𝘇𝗮𝘁𝗶𝗼𝗻,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-011,7296422990588579840,𝐓𝐡𝐞 𝐈𝐧𝐬𝐭𝐚𝐛𝐢𝐥𝐢𝐭𝐲 𝐨𝐟 𝐖𝐨𝐄 𝐄𝐧𝐜𝐨𝐝𝐢𝐧𝐠 𝐢𝐧 𝐏𝐃 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,logged_in_rendered_capture_complete,19,2,promote_to_crpto_woe_stability_caveat,Mini libro CRPTO; Paper 4 candidate lane; thesis feature-governance chapter.,Keep WoE replacement instability as a preprocessing/monitoring caveat; prototype only if a KL-limit or iterative-WoE experiment changes an appendix table or reviewer response.,Closed for IJDS body; reopen only under a separate Paper 4 protocol with a local experiment and no champion replacement.,external_adsfcr_source_plus_private_comment_context
ANDRIJA-LOGIN-012,7458765378664427520,𝗥𝗶𝘀𝗸 𝗙𝗮𝗰𝘁𝗼𝗿 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝗶𝗻𝗴 𝗶𝗻 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗿𝗲𝗲-𝗕𝗮𝘀𝗲𝗱 𝗜𝗻𝘁𝗲𝗿𝗮𝗰𝘁𝗶𝗼𝗻𝘀,logged_in_rendered_capture_complete,4,2,park_residual_tree_validation_prototype,Paper 4 prototype; thesis validation and feature-engineering chapter.,"Use residual tree segment validation as an omitted-risk-factor diagnostic, with monotonicity and minimum-leaf constraints; keep ML as enhancement layer.",Closed when PDtoolkit segment.vld is logged as software documentation; prototype only if it changes validation language or an appendix diagnostic.,software_documentation_read_plus_private_comment_context
ANDRIJA-LOGIN-013,7453691768476405760,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗢𝗻 𝘁𝗵𝗲 𝗥𝗲𝗹𝗶𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝘁𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗡𝗼𝗿𝗺𝗮𝗹 𝗧𝗲𝘀𝘁,logged_in_rendered_capture_complete,7,0,promote_pd_backtesting_dependence_caveat,Mini libro CRPTO reviewer-defense; thesis PD validation chapter.,Add effective-sample-size/autocorrelation caveat for multi-period PD tests; keep Blumke/order-statistic tests as source-discovery for thesis.,Closed for IJDS unless a cited PD-validation paper materially changes a reviewer-defense answer; no new test is implemented without an artifact gate.,private_comment_context_plus_external_source_discovery
ANDRIJA-LOGIN-014,7451153797881618432,𝐬𝐦𝐢: 𝐀𝐧 𝗣𝘆𝘁𝗵𝗼𝗻 𝐏𝐚𝐜𝐤𝐚𝐠𝐞 𝐟𝐨𝐫 𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-015,7342064984069173248,"Our paper, “Drifts, Shifts and Instabilities to Quantify Scorecard Model Risk,” co-authored with Alan Forrest, has been accepted for presentation at the Credit Scoring and Credit C",logged_in_rendered_capture_complete,8,4,append_model_shift_to_thesis_mrm,Thesis MRM chapter; IJDS limitations/future work only.,"Use model shift as a governance analogy for specification-risk monitoring, not as a new IJDS contribution.",Closed because model-shift sources are already captured; reopen only for thesis chapter writing or MRM appendix alignment.,external_presentation_and_prospectus_read
ANDRIJA-LOGIN-016,7455503720936693760,𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗡𝗼𝘁𝗲𝘀 – 𝗧𝗵𝗲 𝗧𝗵𝗶𝗿𝗱 𝗨𝗽𝗱𝗮𝘁𝗲,logged_in_rendered_capture_complete,6,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-017,7443560044412968960,𝗔𝗽𝗽𝗹𝗶𝗲𝗱 𝗗𝗮𝘁𝗮 𝗦𝗰𝗶𝗲𝗻𝗰𝗲 𝗳𝗼𝗿 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸,logged_in_rendered_capture_complete,9,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-018,7440317398584360961,Profile activity 7440317398584360961,logged_in_rendered_capture_complete,1,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-019,7439989093985525761,Profile activity 7439989093985525761,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-020,7438173655291019265,Profile activity 7438173655291019265,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-021,7435399194388942848,Profile activity 7435399194388942848,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-022,7425667173840277504,Profile activity 7425667173840277504,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-023,7425584455609712640,Profile activity 7425584455609712640,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-024,7424831663123234816,Profile activity 7424831663123234816,logged_in_rendered_capture_complete,1,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-025,7421592655278522368,Profile activity 7421592655278522368,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-026,7398299296388771840,Profile activity 7398299296388771840,logged_in_rendered_capture_complete,8,1,archive_non_credit_risk_context,Archive.,No CRPTO action; financial-stability/hybrid-threat context is out of scope.,Closed as non-credit-risk for current CRPTO/Paper 4 scope.,blocked_or_low_relevance_external_context
ANDRIJA-LOGIN-027,7397179611266146304,Profile activity 7397179611266146304,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-028,7395439589500465153,Profile activity 7395439589500465153,logged_in_rendered_capture_complete,8,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-029,7381856247467380736,Profile activity 7381856247467380736,logged_in_rendered_capture_complete,1,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-030,7373943955094319104,Profile activity 7373943955094319104,logged_in_rendered_capture_complete,4,3,archive_financial_crime_ai_context,Archive; possible future regulated-AI governance reading only.,No credit-risk implementation; agentic AI for FCC is governance-adjacent but outside CRPTO scope.,Closed unless the thesis opens a regulated-AI governance appendix.,external_preprint_title_abstract_read
ANDRIJA-LOGIN-031,7360975499759616000,Profile activity 7360975499759616000,logged_in_rendered_capture_complete,1,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-032,7359493731563020288,Profile activity 7359493731563020288,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-033,7349020596023799808,Profile activity 7349020596023799808,logged_in_rendered_capture_complete,3,0,append_private_context_or_close,Private intake archive; prior public Andrija decisions remain controlling.,No immediate project change; keep comment context for source discovery and reviewer-language nuance.,"Closed unless a comment-shared external source changes a claim, appendix, or thesis chapter.",private_comment_context_only
ANDRIJA-LOGIN-034,7346120026711646208,Profile activity 7346120026711646208,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-035,7345756217706713089,Profile activity 7345756217706713089,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-036,7335971743859105792,Profile activity 7335971743859105792,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
ANDRIJA-LOGIN-037,7330928750026448896,Profile activity 7330928750026448896,logged_in_rendered_capture_complete,0,0,close_no_logged_in_delta,No new action beyond public Andrija intake.,No immediate project change.,Closed because logged-in pass exposed no comments or high-priority external sources.,logged_in_surface_checked_no_delta
