claim_id,allowed,artifact,boundary
v340_dynamic_global_gate_executed,True,paper4_v340_dynamic_proxy_or_global_bound_after_v338.csv,gate audit plus dynamic proxy replay
v340_v338_final_static_proxy_beats_v295,True,paper4_v340_dynamic_proxy_summary.csv,final-period static-book proxy only
v340_v338_final_static_proxy_beats_v316,True,paper4_v340_dynamic_proxy_summary.csv,final-period static-book proxy only
v340_v338_matches_v295_period_distribution,True,paper4_v340_dynamic_proxy_or_global_bound_after_v338.csv,static-book issue-period composition only
v340_v338_lower_cvar_frontier_vs_v330,True,paper4_v340_dynamic_proxy_or_global_bound_after_v338.csv,lower CVaR but lower return versus v330
v340_v338_dominates_v330,False,paper4_v340_dynamic_proxy_or_global_bound_after_v338.csv,requires higher return and no higher CVaR versus v330
v340_matched_period_dynamic_superiority,False,paper4_v340_claim_blockers.csv,"target period distribution matched, but no live deployment replay"
v340_contractual_ifrs9_or_full_proxy_coverage,False,paper4_v340_proxy_coverage_comparison.csv,v338 still has missing v47 proxy rows
v340_full_universe_gap_certificate,False,paper4_v340_claim_blockers.csv,global certificate missing
v340_working_champion_or_final_promotion,False,paper4_v340_claim_blockers.csv,working champion and final promotion remain blocked
