artifact,suffix,bytes,paper4_layer,exists
reports/paper_material/paper4/figures/paper4_fig10_mdcp_worst_source_v2.png,.png,39501,v2_priorities,True
reports/paper_material/paper4/figures/paper4_fig4_regret_auditability_frontier.png,.png,61403,foundation_or_prior,True
reports/paper_material/paper4/figures/paper4_fig5_return_ecl_tail_frontier.png,.png,100658,foundation_or_prior,True
reports/paper_material/paper4/figures/paper4_fig6_gamma_return_frontier.png,.png,85125,foundation_or_prior,True
reports/paper_material/paper4/figures/paper4_fig7_tail_policy_frontier.png,.png,56430,v2_priorities,True
reports/paper_material/paper4/figures/paper4_fig8_selector_v2_frontier.png,.png,65072,v2_priorities,True
reports/paper_material/paper4/figures/paper4_fig9_regret_auditability_v2.png,.png,64831,v2_priorities,True
reports/paper_material/paper4/notes/causal_identification_report.md,.md,852,foundation_or_prior,True
reports/paper_material/paper4/notes/paper4_causal_identification_dossier.md,.md,901,foundation_or_prior,True
reports/paper_material/paper4/notes/paper4_causal_v2_gate.md,.md,214,v2_priorities,True
reports/paper_material/paper4/notes/paper4_direction_changes.qmd,.qmd,1473,foundation_or_prior,True
reports/paper_material/paper4/notes/paper4_experiment_ledger.qmd,.qmd,3025,foundation_or_prior,True
reports/paper_material/paper4/notes/paper4_failure_log.qmd,.qmd,2196,foundation_or_prior,True
reports/paper_material/paper4/notes/paper4_learning_log.qmd,.qmd,2344,foundation_or_prior,True
reports/paper_material/paper4/notes/paper4_open_questions.qmd,.qmd,1342,foundation_or_prior,True
reports/paper_material/paper4/notes/paper4_selector_v2_decision_memo.md,.md,355,v2_priorities,True
reports/paper_material/paper4/status/paper4_artifact_registry.json,.json,4413,foundation_or_prior,True
reports/paper_material/paper4/status/paper4_diagnostic_selector_config.json,.json,616,foundation_or_prior,True
reports/paper_material/paper4/status/paper4_exact_replay_topk_status.json,.json,784,v2_priorities,True
reports/paper_material/paper4/status/paper4_extended_artifact_registry.json,.json,6114,foundation_or_prior,True
reports/paper_material/paper4/status/paper4_extended_lanes_status.json,.json,2862,foundation_or_prior,True
reports/paper_material/paper4/status/paper4_insights_factory_status.json,.json,1140,foundation_or_prior,True
reports/paper_material/paper4/status/paper4_multi_period_toy_policy.json,.json,654,foundation_or_prior,True
reports/paper_material/paper4/status/paper4_mvp_status.json,.json,3037,foundation_or_prior,True
reports/paper_material/paper4/status/paper4_post_decision_state_schema.json,.json,1177,foundation_or_prior,True
reports/paper_material/paper4/status/paper4_selector_v2_config.json,.json,600,v2_priorities,True
reports/paper_material/paper4/status/paper4_sequential_decision_schema.json,.json,2940,foundation_or_prior,True
reports/paper_material/paper4/tables/fairness_constrained_policy_eval.parquet,.parquet,8087,foundation_or_prior,True
reports/paper_material/paper4/tables/mdcp_source_coverage_report.parquet,.parquet,5795,foundation_or_prior,True
reports/paper_material/paper4/tables/online_conformal_coverage_regret.parquet,.parquet,17209,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_cate_exact_topk_value.csv,.csv,784,v2_priorities,True
reports/paper_material/paper4/tables/paper4_cate_policy_value_toy.csv,.csv,7531,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_diagnostic_selector_results.csv,.csv,34932,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_dla_toy_horizon_summary.csv,.csv,28616,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_dla_toy_state_replay.parquet,.parquet,13696,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_dla_vs_static_policy_comparison.csv,.csv,255,v2_priorities,True
reports/paper_material/paper4/tables/paper4_exact_limited_topk_allocations.parquet,.parquet,53349,v2_priorities,True
reports/paper_material/paper4/tables/paper4_exact_limited_topk_policy_eval.csv,.csv,1244,v2_priorities,True
reports/paper_material/paper4/tables/paper4_exact_vs_proxy_comparison.csv,.csv,2300,v2_priorities,True
reports/paper_material/paper4/tables/paper4_fairness_constraint_screen.csv,.csv,5970,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_fairness_policy_stress.csv,.csv,74905,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_ifrs9_lifetime_ecl_grid.parquet,.parquet,2272815,v2_priorities,True
reports/paper_material/paper4/tables/paper4_ifrs9_loan_policy_grid.parquet,.parquet,818052,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_ifrs9_policy_stage_mix.csv,.csv,47851,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_ifrs9_stage_transition_stress.csv,.csv,51514,v2_priorities,True
reports/paper_material/paper4/tables/paper4_ifrs9_v2_policy_summary.csv,.csv,90507,v2_priorities,True
reports/paper_material/paper4/tables/paper4_loan_level_policy_evidence.parquet,.parquet,17923,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_mdcp_policy_eval_v2.csv,.csv,180501,v2_priorities,True
reports/paper_material/paper4/tables/paper4_mdcp_source_definitions.csv,.csv,169,v2_priorities,True
reports/paper_material/paper4/tables/paper4_mdcp_worst_source_coverage.csv,.csv,18072,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_mdcp_worst_source_frontier.csv,.csv,16711,v2_priorities,True
reports/paper_material/paper4/tables/paper4_monthly_policy_replay.parquet,.parquet,49844,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_monthly_replay.parquet,.parquet,11476,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_multi_period_policy_path.csv,.csv,7466,v2_priorities,True
reports/paper_material/paper4/tables/paper4_multi_period_solver_results.parquet,.parquet,9808,v2_priorities,True
reports/paper_material/paper4/tables/paper4_oce_cvar_constraint_grid.csv,.csv,1593,v2_priorities,True
reports/paper_material/paper4/tables/paper4_online_conformal_aci_replay.parquet,.parquet,8438,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_online_conformal_coverage_regret_v2.csv,.csv,252177,v2_priorities,True
