asset_id_v486,asset_type_v486,hardened_caption_v486,audit_passed_v486,review_decision_v486,accepted_for_manuscript_draft_v486,requires_manual_editor_signoff_v486,caption_final_v486,caption_inserted_into_quarto_v486,claim_boundary_v486
T1,table,Local return and tail-risk frontier for the v338-v347-v353 chain. Evidence is local to the comparable universe; full-v55 optimality and working-champion claims remain outside scope.,True,accept_for_draft_under_caveat,True,True,False,False,no full-v55 optimality or champion claim
T2,table,Tight source-governance ranking after the domain refresh. Grade A is retained as the primary blocker; the table does not authorize cap relaxation or fairness certification.,True,accept_for_draft_under_caveat,True,True,False,False,no source cap approval or mutation
T3,table,"Dynamic replay gap for the current local frontier. v338 remains the historical dynamic proxy anchor, while v353 lacks a dynamic replay trace.",True,accept_for_draft_under_caveat,True,True,False,False,no live dynamic deployment language
T4,table,Internal online conformal monitoring proxy gates. The evidence is replay-based and internal; external holdout and production monitoring claims remain blocked.,True,accept_for_draft_under_caveat,True,True,False,False,no production monitoring claim
T5,table,Formal SPO-DLA claim-boundary matrix. The table supports bounded historical audit language only; formal theorem and CRC guarantee claims remain blocked.,True,accept_for_draft_under_caveat,True,True,False,False,no formal theorem or CRC guarantee
T6,table,Contractual IFRS9 requirement-gap audit. The table supports proxy and gap language only; contractual cashflow and accounting compliance claims remain blocked.,True,accept_for_draft_under_caveat,True,True,False,False,no contractual accounting compliance claim
F1,figure,"Return, ECL and tail-risk frontier context. The figure provides visual context for the local frontier and must be read with the current T1 evidence table.",True,accept_for_draft_under_caveat,True,True,False,False,visual context only; v467 table carries current claim
F2,figure,Worst-source governance coverage context. The figure motivates the source-governance blocker without implying cap approval or legal fairness certification.,True,accept_for_draft_under_caveat,True,True,False,False,no cap relaxation or legal fairness certification
F3,figure,"Online conformal method-search context. The figure supports internal monitoring proxy discussion only, not production monitoring.",True,accept_for_draft_under_caveat,True,True,False,False,no external holdout or production monitoring claim
F4,figure,Regret-auditability frontier context for historical SPO-DLA positioning. The figure does not establish a formal theorem or deployment guarantee.,True,accept_for_draft_under_caveat,True,True,False,False,no formal SPO-DLA theorem claim
