asset_id_v486,revision_action_v486,action_required_v486,blocks_final_caption_v486,blocks_quarto_insertion_v486,claim_boundary_v486
T1,editorial signoff before final caption,True,True,True,no full-v55 optimality or champion claim
T2,editorial signoff before final caption,True,True,True,no source cap approval or mutation
T3,editorial signoff before final caption,True,True,True,no live dynamic deployment language
T4,editorial signoff before final caption,True,True,True,no production monitoring claim
T5,editorial signoff before final caption,True,True,True,no formal theorem or CRC guarantee
T6,editorial signoff before final caption,True,True,True,no contractual accounting compliance claim
F1,editorial signoff before final caption,True,True,True,visual context only; v467 table carries current claim
F2,editorial signoff before final caption,True,True,True,no cap relaxation or legal fairness certification
F3,editorial signoff before final caption,True,True,True,no external holdout or production monitoring claim
F4,editorial signoff before final caption,True,True,True,no formal SPO-DLA theorem claim
