priority,target_kind,target_id,url_or_route,reason_to_try_logged_in,expected_incremental_value,project_destination_if_useful,recommended_access_mode,stop_condition,do_not_use_for
P0,blocked_post_full_capture,7463579851317239808,https://www.linkedin.com/posts/andrija-djurovic_activity-7463579851317239808-vGpI,Public capture returned only generic LinkedIn text; activity is recent and could contain a new credit-risk post/deck.,Potentially high because current content is zero and it sits in the recent-profile window.,CRPTO/Paper 4/thesis triage after content is known.,Visible logged-in browser/CDP capture first; avoid password-in-chat and avoid internal API scraping.,"Stop when full text, attachments, outbound links and visible comments are captured, or the page is confirmed non-credit-risk/reaction-only.",Do not infer topic from activity ID or snippets.
P0,blocked_post_full_capture,7462756612538073090,https://www.linkedin.com/posts/andrija-djurovic_activity-7462756612538073090--Doz,Public capture returned only generic LinkedIn text; activity is recent and could contain a new credit-risk post/deck.,Potentially high because current content is zero and it sits in the recent-profile window.,CRPTO/Paper 4/thesis triage after content is known.,Visible logged-in browser/CDP capture first; avoid password-in-chat and avoid internal API scraping.,"Stop when full text, attachments, outbound links and visible comments are captured, or the page is confirmed non-credit-risk/reaction-only.",Do not infer topic from activity ID or snippets.
P0,profile_activity_discovery_recent,"7464688200981102592,7464591835819204608,7464578755382976512,7464473809778212864,7464417800288137216,7464369310325702657",https://www.linkedin.com/in/andrija-djurovic/recent-activity/all/,Six most recent public profile activity IDs lack own-post permalinks; login can classify authored post vs reaction/comment.,High discovery value; this is where missing current posts would appear.,New rows in Andrija post backlog only if authored and credit-risk relevant.,Visible logged-in recent-activity scan; capture only pages the account can normally view.,"Stop after each ID is classified as authored post, reaction/comment, non-credit-risk, or inaccessible.",Do not treat reactions/comments as Andrija-authored technical content.
P0,logged_in_comment_and_link_scan,7461301929135022080,https://www.linkedin.com/posts/andrija-djurovic_pdbacktestingmpat-activity-7461301929135022080-ZWpE,Multi-period average PD testing has high CRPTO reviewer-defense value and currently has zero public comments.,"Possible links or clarifications on estimator, effective sample size, or regulatory backtesting practice.",CRPTO reviewer-defense; Paper 4 validation appendix candidate.,Visible logged-in browser/CDP capture of expanded comments and outbound links.,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status.",Do not promote comment-only claims without independent source status.
P0,logged_in_comment_and_link_scan,7435946096050339840,https://www.linkedin.com/posts/andrija-djurovic_modelbasedpdratingscalecalibration-activity-7435946096050339840-VDj7,Model-based PD rating-scale calibration is directly relevant to calibration language and possible appendix prototype.,Possible references/code/comments on intercept optimization and grade-level PD tests.,CRPTO calibration defense; Paper 4 candidate.,Visible logged-in browser/CDP capture of expanded comments and outbound links.,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status.",Do not promote comment-only claims without independent source status.
P0,logged_in_comment_and_link_scan,7296422990588579840,https://www.linkedin.com/posts/andrija-djurovic_woeencodinginstability-activity-7296422990588579840-7lwj,WoE encoding instability is one of the strongest bridge concepts for project governance and Paper 4.,"Possible discussion around replication risk, monitoring, and better WoE alternatives.",Mini-book caveat; Paper 4 encoding-stability lane.,Visible logged-in browser/CDP capture of expanded comments and outbound links.,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status.",Do not promote comment-only claims without independent source status.
P0,logged_in_comment_and_link_scan,7458765378664427520,https://www.linkedin.com/posts/andrija-djurovic_rfpdtbinteractions-activity-7458765378664427520-26OI,Tree-based interactions is a concrete prototype lane under selective ML.,Possible implementation links or constraints for monotone/business-valid interactions.,Paper 4 prototype; thesis feature-engineering.,Visible logged-in browser/CDP capture of expanded comments and outbound links.,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status.",Do not promote comment-only claims without independent source status.
P1,logged_in_comment_and_link_scan,7453691768476405760,https://www.linkedin.com/posts/andrija-djurovic_nttypeierror-activity-7453691768476405760-wjws,"Normal-test reliability is useful, but it already has extracted deck content.",Possible clarifications on simulation settings and autocorrelation caveats.,CRPTO validation caveat; thesis.,Visible logged-in browser/CDP capture of expanded comments and outbound links.,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status.",Do not promote comment-only claims without independent source status.
P1,logged_in_comment_and_link_scan,7451153797881618432,https://www.linkedin.com/posts/andrija-djurovic_smipymanual-activity-7451153797881618432-tf0b,"SMI is valuable for thesis IFRS9, but outside IJDS body.",Possible package/docs links or use-case clarifications.,Thesis IFRS9 chapter.,Visible logged-in browser/CDP capture of expanded comments and outbound links.,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status.",Do not promote comment-only claims without independent source status.
P1,logged_in_comment_and_link_scan,7342064984069173248,https://www.linkedin.com/posts/andrija-djurovic_our-paper-drifts-shifts-and-instabilities-activity-7342064984069173248-DTrS,Model shift/MRM is useful for thesis and limitations; public comments already exist but login may reveal all.,Possible paper/prospectus links or conference discussion.,Thesis MRM; CRPTO limitations.,Visible logged-in browser/CDP capture of expanded comments and outbound links.,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status.",Do not promote comment-only claims without independent source status.
