asset_id_v485,caption_word_count_v485,caption_minimum_length_pass_v485,caption_boundary_language_pass_v485,caption_manual_review_required_v485,caption_ready_for_final_review_v485,caption_quality_pass_v485,claim_boundary_v485
T1,24,True,True,True,False,True,no full-v55 optimality or champion claim
T2,25,True,True,True,False,True,no source cap approval or mutation
T3,22,True,True,True,False,True,no live dynamic deployment language
T4,20,True,True,True,False,True,no production monitoring claim
T5,20,True,True,True,False,True,no formal theorem or CRC guarantee
T6,20,True,True,True,False,True,no contractual accounting compliance claim
F1,25,True,True,True,False,True,visual context only; v467 table carries current claim
F2,18,True,True,True,False,True,no cap relaxation or legal fairness certification
F3,15,True,True,True,False,True,no external holdout or production monitoring claim
F4,18,True,True,True,False,True,no formal SPO-DLA theorem claim
