backlog_id,source_kind,post_number,activity_id,parent_activity_id,title,relevance,theme,summary_es,post_url,capture_status,primary_asset_type,primary_text_status,primary_ocr_status,post_text_paths,document_paths,image_paths,extracted_text_paths,local_word_count_estimate,external_link_count,external_link_asset_ids,external_source_types,high_value_external_link_asset_ids,project_destination,possible_executable_or_implementable,default_decision,execution_status,next_action,post_stop_condition,claim_gate
POST-001,indexed_denis_post,1,7458410505825685505,,Why Brier Score Can Pick the Wrong Model (And How to Avoid It),Alta,Calibracion y seleccion de modelos,"Brier puede empatar modelos con capacidades de ranking muy distintas; para PD conviene separar discriminacion, rango de probabilidades y calibracion.",https://www.linkedin.com/feed/update/urn:li:activity:7458410505825685505/,public_permalink_captured,linkedin_image_carousel,image_manual_visual_read,manual_visual_read_completed,attachments/raw/7458410505825685505/post_text.txt,,attachments/raw/7458410505825685505/image_01.jpg; attachments/raw/7458410505825685505/image_02.jpg,,240,0,,,,Book Ch06; Paper 4 metric governance; Paper Estrella reviewer-defense language,"Metric-governance text, calibration caveat, or diagnostic table/prototype.",append,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when discrimination/calibration/economic metric implication is classified as promote, append, park, or archive and no LinkedIn-only claim remains unlabeled.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-002,indexed_denis_post,2,7456960883634663424,,Integrating a new data source into a production scoring model usually means retraining from scratch.,Alta,Model maintenance y nuevas variables,"Fine-tuning de GBDT permite incorporar nuevas fuentes de datos sin reconstruir todo el modelo, usando init_model y trazabilidad SHAP.",https://www.linkedin.com/feed/update/urn:li:activity:7456960883634663424/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7456960883634663424/post_text.txt,,attachments/raw/7456960883634663424/image_01.jpg; attachments/raw/7456960883634663424/image_02.jpg,,195,2,7456960883634663424_external_01; 7456960883634663424_external_02,external_web; linkedin_profile,,Book Ch06/Ch10; Paper 4 governance appendix,SHAP distillation/governance memo or explainable-scorecard comparison.,append_or_prototype,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,Stop when explanation target is separated from causal claims and either added as governance language or queued as a bounded prototype.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-003,indexed_denis_post,3,7454786558127161344,,"Working on credit risk models, you can discover a whole parallel shelf of metrics typically hidden from mainstre...",Alta,Metricas de ranking,"Coleccion de metricas menos comunes para credit risk: Somers D, medidas ordinales, calibracion y performance mas alla de accuracy.",https://www.linkedin.com/feed/update/urn:li:activity:7454786558127161344/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7454786558127161344/post_text.txt,attachments/raw/7454786558127161344/document_01.pdf; attachments/raw/7454786558127161344/document_transcript_01.txt,,attachments/extracted/7454786558127161344_primary.txt,107513,0,,,,Book Ch06; Paper 4 metric governance; Paper Estrella reviewer-defense language,"Metric-governance text, calibration caveat, or diagnostic table/prototype.",append,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when discrimination/calibration/economic metric implication is classified as promote, append, park, or archive and no LinkedIn-only claim remains unlabeled.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-004,indexed_denis_post,4,7452612214328537088,,Not all useful credit research makes it to top headlines.,Alta,Economia de Gini y distribuciones score,"Relaciona Gini con separacion bi-normal de goods/bads, acceptance rate y reduccion de perdidas por punto de Gini.",https://www.linkedin.com/feed/update/urn:li:activity:7452612214328537088/,public_permalink_captured,linkedin_image_carousel,image_manual_visual_read,manual_visual_read_completed,attachments/raw/7452612214328537088/post_text.txt,,attachments/raw/7452612214328537088/image_01.jpg; attachments/raw/7452612214328537088/image_02.jpg,,428,0,,,,Book Ch06; Paper 4 metric governance; Paper Estrella reviewer-defense language,"Metric-governance text, calibration caveat, or diagnostic table/prototype.",append,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when discrimination/calibration/economic metric implication is classified as promote, append, park, or archive and no LinkedIn-only claim remains unlabeled.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-005,indexed_denis_post,5,7449713105552482304,,WOE Recalibration: The Fine-Tuning Trick Credit Risk Hasn't Named Yet,Alta,WOE recalibration,"Recalibrar WOE por variable preserva bins y estructura del scorecard, como punto medio entre intercept recalibration y redevelopment.",https://www.linkedin.com/feed/update/urn:li:activity:7449713105552482304/,public_permalink_captured,linkedin_image_carousel,image_manual_visual_read,manual_visual_read_completed,attachments/raw/7449713105552482304/post_text.txt,,attachments/raw/7449713105552482304/image_01.jpg; attachments/raw/7449713105552482304/image_02.jpg,,217,1,7449713105552482304_external_01,github,7449713105552482304_external_01,Book Ch05/Ch06; Paper 4 appendix only if experiment-ready,"WOE binning/recalibration diagnostic, scorecard comparison, or interpretable-ML sidebar.",append_or_prototype,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when the WOE/scorecard idea is either mapped to an existing chapter note or has a bounded experiment spec with data, metric, and rejection rule.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-006,indexed_denis_post,6,7439581405879103488,,Which observations help (or hurt) your model's Gini?,Alta,Debug de Gini,"Descompone Gini a nivel observacion para detectar pares mal ordenados, outliers y segmentos que reducen ranking power.",https://www.linkedin.com/feed/update/urn:li:activity:7439581405879103488/,public_permalink_captured,linkedin_image_carousel,image_manual_visual_read,manual_visual_read_completed,attachments/raw/7439581405879103488/post_text.txt,,attachments/raw/7439581405879103488/image_01.jpg; attachments/raw/7439581405879103488/image_02.jpg,,129,1,7439581405879103488_external_01,external_web,,Book Ch06; Paper 4 metric governance; Paper Estrella reviewer-defense language,"Metric-governance text, calibration caveat, or diagnostic table/prototype.",append,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when discrimination/calibration/economic metric implication is classified as promote, append, park, or archive and no LinkedIn-only claim remains unlabeled.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-007,indexed_denis_post,7,7437407111698984960,,On Credit: Scoring Foundations in the Age of AI is now available digitally!,Alta,Libro y fundamentos,Recurso central: historia y fundamentos de credit scoring desde WOE/logistic hasta ML y explicabilidad.,https://www.linkedin.com/feed/update/urn:li:activity:7437407111698984960/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7437407111698984960/post_text.txt,,attachments/raw/7437407111698984960/image_01.jpg,,123,2,7437407111698984960_external_01; 7437407111698984960_external_02,external_web,,Book Ch05/Ch06; Paper 4 appendix only if experiment-ready,"WOE binning/recalibration diagnostic, scorecard comparison, or interpretable-ML sidebar.",append_or_prototype,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,"Stop when the WOE/scorecard idea is either mapped to an existing chapter note or has a bounded experiment spec with data, metric, and rejection rule.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-008,indexed_denis_post,8,7436682459037089793,,"Most credit scorecards use main effects only: one feature, one bin, one WOE value.",Alta,Scorecards con interacciones GBDT,"Usa hojas de GBDT como bins conjuntos WOE y las alimenta a regresion logistica interpretable, capturando interacciones.",https://www.linkedin.com/feed/update/urn:li:activity:7436682459037089793/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7436682459037089793/post_text.txt,attachments/raw/7436682459037089793/document_01.pdf; attachments/raw/7436682459037089793/document_transcript_01.txt,,attachments/extracted/7436682459037089793_primary.txt,832,0,,,,Book Ch05/Ch06; Paper 4 appendix only if experiment-ready,"WOE binning/recalibration diagnostic, scorecard comparison, or interpretable-ML sidebar.",append_or_prototype,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when the WOE/scorecard idea is either mapped to an existing chapter note or has a bounded experiment spec with data, metric, and rejection rule.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-009,indexed_denis_post,9,7435957418662207488,,Officially AWS Certified Generative AI Developer - Professional (and an Early Adopter too)!,Baja,Certificacion GenAI/AWS,Reflexion general sobre cambio de skillset hacia sistemas AI/ML escalables.,https://www.linkedin.com/feed/update/urn:li:activity:7435957418662207488/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7435957418662207488/post_text.txt,,attachments/raw/7435957418662207488/image_01.jpg,,150,0,,,,Research archive,No direct implementation unless a linked canonical source becomes surprisingly relevant.,archive,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,Stop after source/content is logged and low-relevance rationale is explicit.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-010,indexed_denis_post,10,7435378973288685568,,Had an amazing day today at Data Demystified Summit in Berlin!,Media,Calidad de datos y adopcion analitica,"Notas sobre mala calidad de datos, dashboards inutilizados y soberania cloud; util como recordatorio operacional.",https://www.linkedin.com/feed/update/urn:li:activity:7435378973288685568/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7435378973288685568/post_text.txt,,attachments/raw/7435378973288685568/image_01.jpg; attachments/raw/7435378973288685568/image_02.jpg,,117,2,7435378973288685568_external_01; 7435378973288685568_external_02,linkedin_company,,Book Ch10/Ch14/Ch19; implementation companion,MLOps/source-governance checklist or reproducibility appendix; not a core empirical claim.,append,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,Stop when implementation relevance is mapped to book infrastructure/governance text or archived as tool-context only.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
