policy_id,lane_v15,adapter_type_v15,source_artifact,n_candidate_loans,initial_static_exposure,decision_rule,claim_boundary,version_v31
paper1_economic_champion,crpto_frozen_paper1,monthly_book_adapter,paper4_policy_loan_level_evidence.parquet,335,1000000.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,cvar_mdcp_colgen,monthly_book_adapter,paper4_v13_cvar_stronger_decomposition_allocations.parquet,350,1000000.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,cvar_mdcp_colgen,monthly_book_adapter,paper4_v13_cvar_stronger_decomposition_allocations.parquet,350,1000000.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,cvar_mdcp_colgen,monthly_book_adapter,paper4_v13_cvar_stronger_decomposition_allocations.parquet,335,1000000.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_mdcp_empirical_base,mdcp_cap_solver,monthly_book_adapter,paper4_v13_mdcp_cap_regime_allocations.parquet,267,1000000.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_mdcp_empirical_return_recovery,mdcp_cap_solver,monthly_book_adapter,paper4_v13_mdcp_cap_regime_allocations.parquet,293,1000000.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_mdcp_empirical_tight,mdcp_cap_solver,monthly_book_adapter,paper4_v13_mdcp_cap_regime_allocations.parquet,196,850000.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_spo_regret_audit_guarded,spo_decision_oracle_surrogate,monthly_book_adapter,paper4_v13_spo_decision_loss_allocations.parquet,396,980625.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_spo_regret_balanced,spo_decision_oracle_surrogate,monthly_book_adapter,paper4_v13_spo_decision_loss_allocations.parquet,385,982650.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_spo_regret_return_recovery,spo_decision_oracle_surrogate,monthly_book_adapter,paper4_v13_spo_decision_loss_allocations.parquet,395,980650.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_fvi_bellman_rollout,dla_fvi_representative,monthly_book_adapter,paper4_v13_dla_representative_allocations.parquet,689,998650.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_fvi_capital_guarded,dla_fvi_representative,monthly_book_adapter,paper4_v13_dla_representative_allocations.parquet,696,999425.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_fvi_return_recovery,dla_fvi_representative,monthly_book_adapter,paper4_v13_dla_representative_allocations.parquet,676,998375.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
v13_static_reference,dla_fvi_representative,monthly_book_adapter,paper4_v13_dla_representative_allocations.parquet,32,976825.0,fund eligible booked loans month by month subject to available cash and no temporal leakage,"dynamic replay of an existing policy book, not production deployment",adapter_reuse_for_v31_scaled_replay
