metric_id,metric_name,metric_family,powell_role,direction,current_artifact,caveat,target_or_limit,strictness,v14_governance_decision
M01,final wealth / state value,base,objective,maximize,paper4_v13_dla_fvi_comparison.csv,DLA value is fitted-value proxy,higher than static/reference under common paths,ranking_component,use_for_working_champion_only
M02,robust gross/net return,base,objective,maximize,paper4_v13_working_candidate_registry.csv,return can dominate risk if ungated,non-dominated or materially competitive after risk gates,ranking_component,use_after_risk_metrics_are_visible
M03,CVaR/OCE scenario loss,risk,limit,minimize,paper4_v13_cvar_stronger_decomposition_frontier.csv,strict caps remain partly infeasible,"committee cap or strict cap, explicitly labeled",hard_or_claim_gate,do_not_hide_relaxed_feasibility
M04,ECL/provision and Stage 2 share,risk,limit,minimize,paper4_v13_ifrs9_sicr_sensitivity.csv,no contractual IFRS9 claim,no contractual claim; Stage 2 sensitivity must be reported,hard_or_claim_gate,proxy_only_no_contractual_claim
M05,MDCP/source coverage stress,risk,limit,maximize,paper4_v13_mdcp_cap_regime_solver_summary.csv,no legal fairness claim,source-family caps with minimum support and coverage evidence,hard_or_claim_gate,source_governance_only
M06,sample-path p95 loss,risk,limit,minimize,paper4_v13_sample_path_macro_calibrated_ci.csv,internal calibration only,paired p95 loss and probability of improvement reported,hard_or_claim_gate,paired_stress_required
M07,online conformal worst-cell coverage,estimation,target,hit_or_exceed,paper4_v9_online_goal_status.json,historical replay,source-month >= 0.80 and policy-month >= 0.90,review_gate,resolved_historical_gate_keep_monitoring
M08,online conformal interval width,estimation,target,minimize subject to coverage,paper4_v9_online_goal_status.json,future-period validation pending,avg width <= 0.95 for efficient online conformal,review_gate,resolved_historical_gate_keep_monitoring
M09,decision regret proxy,estimation,objective,minimize,paper4_v13_spo_decision_loss_report.csv,not differentiable SPO+ proof,lower temporal decision regret than ridge/static baseline,ranking_component,lane_evidence_not_formal_spo_plus
M10,auditability score / claim traceability,implementation,target,maximize,paper4_v13_working_candidate_registry.csv,score is governance proxy,artifact-backed decision trail for every champion claim,review_gate,required_for_any_champion_language
M11,IFRS9 contractual data readiness,implementation,limit,maximize,paper4_v13_ifrs9_data_blocker_register.csv,data blocked,servicing/DPD/recovery/EAD/macro data available,hard_or_claim_gate,data_blocked
M12,fair-lending evidence readiness,implementation,limit,maximize,paper4_v13_fairness_proxy_governance.csv,protected attributes/protocol absent,protected attributes or approved external proxy protocol,hard_or_claim_gate,data_blocked_no_legal_claim
M13,CATE identification readiness,implementation,limit,maximize,paper4_v13_causal_cate_dossier.csv,theory/identification blocked,"identification, overlap, sensitivity, intervals all pass",hard_or_claim_gate,theory_blocked_no_policy_value
