artifact,source_paper,role,status,run_tag,caveat,path_exists
models/final_project_promotion.json,Paper Estrella,frozen champion truth,implemented,paper-thesis-final-economic-2026-04-06,Paper 4 may consume this artifact but must not overwrite the champion.,True
data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,Paper Estrella,frozen robust-region policy universe,implemented,paper-thesis-final-economic-2026-04-06,Only alpha01 exact/pass policies are used for MVP diagnostics.,True
reports/paper_material/paper1/tables/paper1_tableA12_tail_risk_oce_cvar.csv,Paper Estrella,tail-risk diagnostic seed,implemented,paper1_journal_package,"Diagnostic repricing, not a solver objective.",True
reports/paper_material/paper1/tables/paper1_tableA13_satisficing_margins.csv,Paper Estrella,satisficing threshold seed,implemented,paper1_journal_package,Thresholds are diagnostic until a selector is declared.,True
data/processed/ecl_alpha_sensitivity.parquet,Paper 2 / IFRS9,ECL alpha sensitivity proxy,implemented,research_only,Global ECL proxy; Paper 4 scales it for MVP diagnostics.,True
data/processed/conformal_backtest_monthly.parquet,Paper 3 / conformal monitoring,monthly coverage replay seed,implemented,research_only,"Historical replay, not online learning.",True
data/processed/crpto_vs_spo_stability_detail.parquet,Paper Estrella / DFL comparator,regret-auditability frontier seed,implemented,spo_v2,SPO+ is a comparator; it does not replace CRPTO.,True
data/processed/fairness_audit.parquet,Paper Estrella governance,proxy fairness stress seed,implemented,fairness_proxy,"Proxy/intersectional audit, not legal protected-attribute proof.",True
reports/paper_material/paper4/tables/paper4_v3_full_universe_all_policy_eval.csv,Paper 4 v3,full exact all-policy evaluation,implemented,paper4_v3_deepening_2026-05-13,Exact full-universe diagnostics for 45 frozen policies; no promotion JSON.,True
reports/paper_material/paper4/tables/paper4_v3_ifrs9_cashflow_policy_summary.csv,Paper 4 v3,IFRS9 cashflow lifetime summary,implemented,paper4_v3_deepening_2026-05-13,Cashflow/EAD/prepay/default/cure proxy; no contractual performance panel.,True
reports/paper_material/paper4/tables/paper4_v3_online_conformal_method_summary.csv,Paper 4 v3,online conformal method comparison,implemented,paper4_v3_deepening_2026-05-13,ACI/Mondrian/UP-OCP proxy search; worst-cell coverage still blocks promotion.,True
reports/paper_material/paper4/tables/paper4_v3_formal_cvar_lp_results.csv,Paper 4 v3,formal CVaR LP results,implemented,paper4_v3_deepening_2026-05-13,CVaR variables inside solver over 20k candidate pool; not full-universe CVaR.,True
reports/paper_material/paper4/tables/paper4_v3_selector_results.csv,Paper 4 v3,governance selector with explicit gates,implemented,paper4_v3_deepening_2026-05-13,All non-champion policies remain parked; Paper Estrella champion protected.,True
reports/paper_material/paper4/tables/paper4_v3_causal_high_rate_dossier.csv,Paper 4 v3,high-rate within grade causal dossier,implemented,paper4_v3_deepening_2026-05-13,Dossier only; no causal policy promotion.,True
reports/paper_material/paper4/tables/paper4_v3_fairness_attribute_audit.csv,Paper 4 v3,fairness attribute availability audit,implemented,paper4_v3_deepening_2026-05-13,Protected attributes unavailable; proxy governance only.,True
reports/paper_material/paper4/tables/paper4_v3_multiperiod_loan_level_summary.csv,Paper 4 v3,loan-level multi-period SDAM replay,implemented,paper4_v3_deepening_2026-05-13,State-transition proxy; static champion wins current replay.,True
reports/paper_material/paper4/tables/paper4_challenger_local_search.csv,Paper 4 v4,100-policy challenger local search around uncertainty_aversion/gamma/risk_tolerance,implemented,paper4_v4_open_priorities_2026-05-13,Exact LP over documented 12k local candidate pool; not full-universe promotion.,True
reports/paper_material/paper4/tables/paper4_online_conformal_v4_method_summary.csv,Paper 4 v4,online conformal method comparison with guarded source-aware recalibration,implemented,paper4_v4_open_priorities_2026-05-13,Best method fixes policy-month but still fails global source-month gate.,True
reports/paper_material/paper4/tables/paper4_ifrs9_v4_contractual_policy_summary.csv,Paper 4 v4,contractual IFRS9 ECL policy summary using available performance fields,implemented,paper4_v4_open_priorities_2026-05-13,Uses available status/LGD/installment; not a full servicing panel.,True
reports/paper_material/paper4/tables/paper4_cvar_oce_v4_constraint_frontier.csv,Paper 4 v4,CVaR/OCE constraint frontier with return floors,implemented,paper4_v4_open_priorities_2026-05-13,Candidate-pool formal LP; infeasible points document frontier.,True
reports/paper_material/paper4/tables/paper4_selector_v4_results.csv,Paper 4 v4,governance selector v4 with promote/review/park/kill gates,implemented,paper4_v4_open_priorities_2026-05-13,No final promotion; global online gate blocks promotion.,True
reports/paper_material/paper4/tables/paper4_sdam_v4_dynamic_solver_summary.csv,Paper 4 v4,dynamic loan-level SDAM solver summary,implemented,paper4_v4_open_priorities_2026-05-13,State transition uses proxy cashflows and performance timing.,True
reports/paper_material/paper4/tables/paper4_causal_high_rate_v4_dossier.csv,Paper 4 v4,high_rate_within_grade causal dossier v4,implemented,paper4_v4_open_priorities_2026-05-13,Balance improves; sensitivity still blocks CATE policy value.,True
reports/paper_material/paper4/tables/paper4_fairness_v4_proxy_strategy.csv,Paper 4 v4,fairness proxy governance strategy,implemented,paper4_v4_open_priorities_2026-05-13,No protected-attribute legal fair-lending claim.,True
reports/paper_material/paper4/tables/paper4_mdcp_v4_source_coverage.csv,Paper 4 v4,MDCP source coverage with pooling diagnostics,implemented,paper4_v4_open_priorities_2026-05-13,"Worst defended source coverage, not raw legal fairness.",True
reports/paper_material/paper4/tables/paper4_regret_auditability_v4_frontier.csv,Paper 4 v4,regret-auditability frontier v4,implemented,paper4_v4_open_priorities_2026-05-13,"Auditability score is governance metric, not theorem.",True
